chan_1ev__1,chan_1ev__2,chan_1ev__3,chan_1ev__4,chan_1ev__5,chan_2ev__1,chan_2ev__2,chan_2ev__3,chan_2ev__4,chan_2ev__5,chan_3ev__1,chan_3ev__2,chan_3ev__3,chan_3ev__4,chan_3ev__5,chan_4ev__1,chan_4ev__2,chan_4ev__3,chan_4ev__4,chan_4ev__5,chan_5ev__1,chan_5ev__2,chan_5ev__3,chan_5ev__4,chan_5ev__5,chan_6ev__1,chan_6ev__2,chan_6ev__3,chan_6ev__4,chan_6ev__5,chan_7ev__1,chan_7ev__2,chan_7ev__3,chan_7ev__4,chan_7ev__5,chan_8ev__1,chan_8ev__2,chan_8ev__3,chan_8ev__4,chan_8ev__5,chan_9ev__1,chan_9ev__2,chan_9ev__3,chan_9ev__4,chan_9ev__5,chan_10ev__1,chan_10ev__2,chan_10ev__3,chan_10ev__4,chan_10ev__5,chan_11ev__1,chan_11ev__2,chan_11ev__3,chan_11ev__4,chan_11ev__5,chan_12ev__1,chan_12ev__2,chan_12ev__3,chan_12ev__4,chan_12ev__5
-6.10503274546484,2.5867615472841,-4.81379531852574,1.83875651988371,0.529511673484226,-2.82802793729677,5.78370673700919,6.03830895195386,-6.56563467451281,-3.88503311487156,9.69933665684918,-11.5529692216429,-3.15806578823665,1.59506496203487,-6.43475928883647,6.52057372066972,7.81320558928247,3.86309527548093,-5.35438874957759,-7.74084824589084,-1.03273839519788,0.00972905543618541,1.30414027521273,-1.18757804366907,2.79247631252476,0.25883920301187,1.05756615701534,0.84575038492177,1.19059380436749,-3.65831237957279,2.38486634330377,-3.81346962024422,-0.134812036096491,-1.58057489595913,0.256441159434223,2.1807605452914,-0.585297407264555,2.89624907152629,-0.373547389339898,-0.606393778179501,7.04024608864412,-3.88628942448315,4.0708031698068,14.4435192557162,-6.15593991333061,-3.3095328559644,-5.78441994651482,-0.750448936550013,-1.16937464654288,4.94359663105921,0.609628378406156,-4.20316370737465,-3.94432359970045,-2.67027943646427,-0.836366400757878,3.06466890864698,-6.19286310317171,-6.71506697540962,-5.30446408546017,-2.89595948453514
-6.15576013865425,3.26258015525454,-4.82154154314003,1.77948773612199,-0.63256017658011,-3.50660666295455,5.04431524879816,5.71127821249752,-6.96277457950717,-3.25949927170388,10.8963266782693,-10.4759410879081,-3.44242576068757,2.27419805817283,-5.58688458063587,6.39685620873281,7.90141942236803,3.88421061425325,-4.5911854491595,-7.00196025016888,-0.449611313430835,0.08218313212711,1.28851191403494,-1.18355056685169,2.54296790513882,0.265222141932878,1.46230834838758,1.13381278737315,1.52706224525381,-3.70051852705443,2.43429514473832,-3.6054337521627,-0.316460605054481,-1.45429848587457,0.580217712721734,2.32926759507275,-0.431677170541677,3.13020840765367,-0.352072275797962,-0.290768453235365,7.75493298285895,-3.55843554265161,3.66745789540533,14.6356367550962,-5.75789541011472,-3.14217043692011,-5.21651250747667,-0.834250553477743,-1.2909122755059,5.11885216418645,0.221863864512995,-4.67767902295981,-3.68425444929658,-2.72998039197551,-0.784324423059342,2.51550070154803,-6.42872038133391,-7.14284373620383,-5.46456273501986,-3.16122846071912
-6.17703822700073,3.93522441692926,-4.80841582823091,1.69998604858684,-1.80705302176108,-4.17638716009153,4.27916318946804,5.36120919909689,-7.33403394684808,-2.61557238332745,12.059551045983,-9.36009653741336,-3.71444577539103,2.96054101235474,-4.71134213147325,6.24782869612664,7.95500296836494,3.8841078464519,-3.80197272315855,-6.23555254297374,0.137699140577621,0.152619410883529,1.26856566210596,-1.17809041606474,2.28063653378936,0.275678878917321,1.865820439681,1.42219935580764,1.85891583612054,-3.72381663823162,2.47600463948904,-3.38359569511386,-0.498489923655525,-1.31982678904217,0.901279831351589,2.47073269477573,-0.276520641459553,3.35393141885194,-0.326854736139013,0.0277472983483975,8.44077440992744,-3.22412005750134,3.24700443592616,14.7822962672244,-5.33136346843853,-2.95635122433053,-4.62816777219368,-0.918149447177954,-1.40481913813237,5.27694785850681,-0.169241156967258,-5.12965795987831,-3.40934910085248,-2.78112897137456,-0.729551603630174,1.95575171479029,-6.63638474325422,-7.54567065409951,-5.60809720528635,-3.41898643599537
-6.16854736329434,4.60201881102871,-4.7738857623508,1.60029901951488,-2.98936018956681,-4.83491876941986,3.4911221982467,4.98921630827026,-7.67749091055456,-1.9560510108826,13.1845577220553,-8.2095871895262,-3.97366813772121,3.65154015237923,-3.81101711074735,6.07361065891146,7.97349047787778,3.86258469610693,-2.98941815431561,-5.44435911061872,0.726821191187392,0.220666869013219,1.24422663091882,-1.17129046984039,2.00641709991565,0.290119908894376,2.26627631765475,1.70990971262452,2.1849741621166,-3.72766402831599,2.50988910516055,-3.1486728035015,-0.68030778562784,-1.17772707890003,1.21817345079495,2.60454218544956,-0.120552647524682,3.56629570607722,-0.297955040620773,0.347827652886899,9.09498298037179,-2.88468013588924,2.81025968245549,14.8827329421311,-4.87734664417729,-2.75251011612838,-4.02151840713539,-1.00190711814023,-1.51076867865608,5.41729103007934,-0.562038135591749,-5.55706746679081,-3.12035924008389,-2.82340449334805,-0.672333447661421,1.38776204552764,-6.81458027476905,-7.9217300348102,-5.73431123613915,-3.66830873135565
-6.13011221957891,5.26027674078902,-4.71751063149041,1.48060897330437,-4.17478351297885,-5.4797822256613,2.68318161498391,4.59650588529914,-7.99133478729305,-1.28382744147733,14.2670258168443,-7.02870443463232,-4.21969406918465,4.34456569608607,-2.88891129043916,5.87442395241867,7.95657940398673,3.81955284469786,-2.15631420053292,-4.63121596310832,1.31536512912864,0.285969561902626,1.21543319306319,-1.16323842177678,1.72130401842104,0.308417114708838,2.66184307839422,1.99593165656408,2.50407999456437,-3.71160981581582,2.5358707832938,-2.90143574586653,-0.861319734971324,-1.02860969946522,1.52946150080484,2.73010556518419,0.0354960751411291,3.7662151082672,-0.265458299154365,0.668131990856744,9.71489833600399,-2.54144884909937,2.35810828938762,14.936335312539,-4.39697597361729,-2.53117772133137,-3.39877247748603,-1.08527312747141,-1.60847838363045,5.53935549246687,-0.954859394202961,-5.95799181932056,-2.81809371134134,-2.85651521872924,-0.612965535179659,0.813913962867571,-6.96216270199794,-8.26930631268512,-5.84250245885494,-3.90828891127336
-6.061703909893,5.90731152936828,-4.63894552323409,1.34123405963519,-5.35855250438215,-6.10859880686176,1.85843671755509,4.18437229162843,-8.27387581050066,-0.601874902158149,15.3027832359316,-5.82186205532871,-4.45218342060731,5.03692184708739,-1.94813238078501,5.65059384293305,7.90413301760313,3.7550396824041,-1.30556835457737,-3.79905028970468,1.90093361197124,0.348188566320316,1.18213773865063,-1.15401599767457,1.42634744069954,0.330404228436245,3.05068946672824,2.27924479955457,2.81510352392997,-3.67529878147639,2.55389998138896,-2.64270579341237,-1.0409310818272,-0.8731254087616,1.83373086332394,2.84685815667708,0.190892453304244,3.95264502221637,-0.229474385296168,0.987310794029012,10.2979989339824,-2.1957489490796,1.89150211669691,14.9426484139278,-3.8915085972295,-2.29297939204157,-2.76220477037537,-1.16798582429488,-1.69771061951709,5.64268356354371,-1.34602563052971,-6.33064191574777,-2.50341640951332,-2.88020005385935,-0.551752092922902,0.236621354137049,-7.07812608169402,-8.58679412655523,-5.93202591067831,-4.13804219277382
-5.96344139640836,6.54044754405879,-4.5379450168989,1.18262853170005,-6.53584408062718,-6.71903934559377,1.02007641168247,3.75419359058371,-8.52355435425991,0.086765718989218,16.2878237558491,-4.59357830622183,-4.67085407338564,5.72585738238971,-0.991882874184315,5.40254961133072,7.81618221965036,3.66918945456782,-0.440192701181418,-2.95086922325568,2.48113204456948,0.407003834987052,1.14430739649675,-1.14369823280116,1.12264919579559,0.355877552493139,3.4309943906423,2.55882428203989,3.11694645530069,-3.61847479104922,2.5639550599773,-2.37335188730998,-1.21854891961343,-0.711962492033956,2.12959923871209,2.95426369776186,0.344904682702506,4.12458759175609,-0.190137713622891,1.30401162116875,10.841913239088,-1.84888676887394,1.41145941718384,14.9013763426121,-3.36232480154578,-2.03863376874463,-2.11414782904318,-1.24977317384373,-1.77827322679419,5.72688778289558,-1.73385353102985,-6.673363963253,-2.17724394718823,-2.89423015058708,-0.489004525317367,-0.341681020683779,-7.16160885726523,-8.87270593513244,-6.00229736442865,-4.35670881797587
-5.83559216537995,7.15703140225755,-4.41436643442348,1.00538222775278,-7.7018027556694,-7.30883306677507,0.171370423960696,3.30742686588489,-8.73894959580229,0.778999584866557,17.2183234542628,-3.34845753035149,-4.87548103709719,6.4085766896428,-0.0234484408273143,5.13082471782284,7.69292653483659,3.56226379016066,0.436707089994782,-2.08974825945913,3.05357899212834,0.462115952153699,1.10192471537382,-1.13235281459444,0.811358466208032,0.384596938887244,3.80095547054231,2.83364455277163,3.40854595070372,-3.54098375846821,2.56604230555394,-2.09428749601037,-1.39358413603663,-0.545843657548946,2.41572188550819,3.05181684286267,0.496805850692953,4.2810967410684,-0.147606869751521,1.61688513481226,11.3444302709327,-1.50214627873884,0.919063760797132,14.8123842384449,-2.81092448446601,-1.76895084005968,-1.45698273605581,-1.33035368393393,-1.85001986880945,5.79165233293035,-2.11666346104335,-6.98464751000234,-1.84054310251894,-2.89841039378873,-0.425039911462768,-0.918548416621408,-7.21189924560093,-9.12567913438126,-6.05279645671381,-4.56345737678445
-5.67857216292512,7.75444321130268,-4.26817262870572,0.810219248520642,-8.85156121415277,-7.87577621757781,-0.684343948552536,2.84560318907822,-8.91878756796604,1.47169199214652,18.0906564230444,-2.09117139249816,-5.06589525348116,7.08225120893653,0.953814078376684,4.83605651878946,7.53473427585271,3.43464160224207,1.32194329412576,-1.21881937877151,3.61591657817432,0.513247780418432,1.05498830070601,-1.12003949572329,0.493667216219513,0.416287023385355,4.15879758271598,3.10268319863853,3.68887840346411,-3.44277612808187,2.56019569071788,-1.80646727477954,-1.565453410658,-0.375522729032243,2.69079819940992,3.13904556359926,0.645877557210733,4.42128302746315,-0.10206409309067,1.92459115121103,11.8035094556933,-1.15678332849394,0.41546268902033,14.6756996810044,-2.23892305201157,-1.48482952056812,-0.793129684835959,-1.40943742681991,-1.91285013493534,5.83673415820914,-2.49278719465918,-7.26313278156953,-1.49432805412944,-2.89258076767593,-0.360179475211398,-1.49153708276238,-7.22843992299668,-9.34448264154349,-6.08306959900095,-4.75748806643938
-5.49294498433609,8.33010779364941,-4.09943428816592,0.597995827459688,-9.9802611766062,-8.41774045578845,-1.54367547647789,2.37032225359562,-9.06194855565751,2.1616827600985,18.9014096957652,-0.826439811495625,-5.24198211845534,7.74403123143945,1.93648903409117,4.51898552859863,7.34214187098491,3.28681835368455,2.2122581395023,-0.341258919993846,4.16582081957962,0.560145989559606,1.00351340216337,-1.10680958199437,0.170805391926187,0.450638709812875,4.50278135602886,3.36492480975484,3.95696303072386,-3.32390885679464,2.54647652339189,-1.51088354060823,-1.73358119178784,-0.201781149976833,2.95357809780271,3.21551343708512,0.791413515640287,4.54431828956791,-0.0537146132441955,2.22580468524192,12.2172897351047,-0.814020105551921,-0.0981339067288081,14.4915134904193,-1.64804675721392,-1.1872547528331,-0.125038379731248,-1.4867271527574,-1.96670939891854,5.86196377892318,-2.86057564721356,-7.50761728361682,-1.13965741028753,-2.87661759259302,-0.294747035571168,-2.05821528128139,-7.2108319818121,-9.52802291294099,-6.09273265655276,-4.93803587470648
