,block,cond,duration,end,endloc,event,loc1end,loc1start,loc1x,loc1y,loc2end,loc2start,loc2x,loc2y,loc3end,loc3start,loc3x,loc3y,objonset,recog loc,same/diff,start,startloc,sub,trialend,trialnum,xend,xstart,yend,ystart
1,1,1.0,36,1421.844,,EFIX,,2143.1531093228036,640.0,500.0,,1868.198664489406,310.0,645.0,,1816.2629352602007,349.0,287.0,2062.156,1.0,-1.0,1387.844,offscreen,ec105,,1,,-1445.3,,5.4
2,1,1.0,30,1451.844,offscreen,ESACC,2166.379782032689,2175.6154669426305,640.0,500.0,1885.539805997211,1901.1282597447232,310.0,645.0,1843.3767276387102,1848.1791742144483,349.0,287.0,2062.156,1.0,-1.0,1423.844,offscreen,ec105,,1,-1479.0,-1475.5,49.4,-7.9
3,1,1.0,32,1483.844,,blink,,2192.055074581841,640.0,500.0,,1912.7384687928459,310.0,645.0,,1867.7769807982966,349.0,287.0,2062.156,1.0,-1.0,1453.844,offscreen,ec105,,1,,-1500.9,,29.2
5,1,1.0,1094,2577.844,screen,ESACC,480.4324822490669,2177.906012664458,640.0,500.0,828.1940412729374,1897.881871982553,310.0,645.0,648.5790391309297,1854.2326175536875,349.0,287.0,2062.156,1.0,-1.0,1485.844,offscreen,ec105,,1,986.4,-1488.6,167.1,39.2
6,1,1.0,256,2833.844,,EFIX,,476.46566507986705,640.0,500.0,,825.0597129905204,310.0,645.0,,648.1790879070383,349.0,287.0,2062.156,1.0,-1.0,2579.844,screen,ec105,,1,,987.2,,173.7
7,1,1.0,48,2881.844,screen,ESACC,681.7605518068643,474.8012742190147,640.0,500.0,1007.4464998202138,823.5649640435173,310.0,645.0,1013.025394548429,647.3571270944656,349.0,287.0,2062.156,1.0,-1.0,2835.844,screen,ec105,,1,1315.9,986.7,589.2,175.6
8,1,1.0,212,3093.844,,EFIX,,697.2275740387782,640.0,500.0,,1020.727333816431,310.0,645.0,,1029.9897523762068,349.0,287.0,2062.156,1.0,-1.0,2883.844,screen,ec105,,1,,1329.8,,601.5
10,1,1.0,708,3801.844,screen,ESACC,664.6850682842213,690.0856541038945,640.0,500.0,889.7186296801927,1011.6714931241266,310.0,645.0,1025.037482241503,1024.6728307123203,349.0,287.0,2062.156,1.0,-1.0,3095.844,screen,ec105,,1,1156.8,1321.1,918.0,611.0
11,1,1.0,128,3929.844,,EFIX,,689.6000652552174,640.0,500.0,,921.6307557802094,310.0,645.0,,1050.2072414528477,349.0,287.0,2062.156,1.0,-1.0,3803.844,screen,ec105,,1,,1191.5,,914.0
12,1,1.0,26,3955.844,screen,ESACC,864.278658766951,685.146480688619,640.0,500.0,1126.2018469173277,918.5650221949452,310.0,645.0,1221.8747890025393,1045.7646484749807,349.0,287.0,2062.156,1.0,-1.0,3931.844,screen,ec105,,1,1407.6,1189.9,897.2,908.7
13,1,1.0,136,4091.844,,EFIX,,900.0817351774227,640.0,500.0,,1165.3180381337963,310.0,645.0,,1256.7759267267973,349.0,287.0,2062.156,1.0,-1.0,3957.844,screen,ec105,,1,,1447.7,,897.2
14,1,1.0,38,4129.844,screen,ESACC,910.9104566311663,901.6550171767469,640.0,500.0,1240.2797507014293,1167.1082940327344,310.0,645.0,1232.3883559982219,1258.2918461152008,349.0,287.0,2062.156,1.0,-1.0,4093.844,screen,ec105,,1,1548.1,1449.6,571.5,896.9
15,1,1.0,132,4261.844,,EFIX,,898.7360012818003,640.0,500.0,,1224.0422378333192,310.0,645.0,,1224.7646304494592,349.0,287.0,2062.156,1.0,-1.0,4131.844,screen,ec105,,1,,1533.2,,599.6
16,1,1.0,34,4295.844,screen,ESACC,997.09081331642,899.3101800824896,640.0,500.0,1357.3349218229082,1224.6492559096257,310.0,645.0,1228.4029835522217,1225.2937606957769,349.0,287.0,2062.156,1.0,-1.0,4263.844,screen,ec105,,1,1568.0,1533.8,135.3,599.4
17,1,1.0,188,4483.844,,EFIX,,1001.4398933535651,640.0,500.0,,1361.469008093831,310.0,645.0,,1236.7671810005309,349.0,287.0,2062.156,1.0,-1.0,4297.844,screen,ec105,,1,,1578.1,,149.5
18,1,1.0,66,4549.844,screen,ESACC,222.49278639991903,994.4267494390928,640.0,500.0,426.82085234908567,1354.3720168402772,310.0,645.0,205.14833657624428,1231.2819985689714,349.0,287.0,2062.156,1.0,-1.0,4485.844,screen,ec105,,1,554.0,1573.4,294.8,157.0
