,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
0,1151,378,1,-60,1017,579,910,362,241.5305,241.5305,241.5305,99,6,1,1,11,7,2,0.48439979999999994,3,1,1.9018680000000001
1,1553,521,1,60,1245,247,1162,651,412.0449,412.0449,412.0449,35,6,2,2,2,4,1,0.7450416999999999,3,1,1.335223
2,347,396,1,60,656,756,813,308,474.2362,474.2362,474.2362,91,6,1,3,6,8,2,0.41451049999999995,1,1,0.43923729999999994
3,329,284,1,60,500,839,895,413,580.5144,580.5144,580.5144,37,6,1,4,12,1,2,0.9576537,1,1,0.8752743000000001
4,1159,693,1,60,1030,320,772,618,394.2005,394.2005,394.2005,72,6,2,5,3,13,1,0.3594152,3,1,1.353234
5,1067,518,1,60,729,246,662,675,434.3662,434.3662,434.3662,77,6,1,6,16,16,2,0.3760113,3,1,0.9609299000000001
6,1356,419,1,60,906,264,997,731,475.6312,475.6312,475.6312,109,6,2,7,4,3,1,0.6385139,3,1,0.3769288
7,1273,343,1,-60,1407,837,912,706,511.9473,511.9473,511.9473,34,6,1,8,10,11,2,2.4004209999999997,2,1,0.8182685000000001
8,1131,720,1,-60,1404,483,1473,838,361.7845,361.7845,361.7845,41,6,2,9,8,12,3,0.911839,1,1,0.5039164
9,1488,647,1,60,1139,273,990,762,511.1057,511.1057,511.1057,95,6,2,10,7,15,2,2.178012,2,3,1.536327
10,343,385,1,60,663,832,890,331,549.659,549.659,549.659,108,6,2,11,9,14,2,0.7208891,2,3,1.7283709999999999
11,954,652,1,-60,715,694,798,466,242.7591,242.7591,242.7591,40,6,2,12,5,6,1,0.41001409999999994,2,2,2.651201
12,1604,319,1,-60,1335,832,1025,343,579.4972,579.4972,579.4972,119,6,2,13,14,5,3,3.4624349999999997,3,1,0.8478781999999999
13,633,315,1,-60,756,836,243,682,535.5268,535.5268,535.5268,21,6,1,14,13,9,2,1.476432,2,1,1.595172
14,1491,364,1,60,1199,628,1573,749,393.6356,393.6356,393.6356,52,6,1,15,15,2,2,0.5611126000000001,-1,-1,-1.0
15,640,500,1,60,349,287,310,645,360.4511,360.4511,360.4511,20,6,1,16,1,10,-1,5.0,3,1,1.480507
16,548,370,2,60,785,834,1068,397,520.7005,520.7005,520.7005,68,4,1,17,18,18,2,0.5396583,1,1,0.2644951
17,373,571,2,-60,819,292,838,818,526.5302,526.5302,526.5302,51,4,2,18,17,32,1,0.9242813,1,1,0.44592370000000003
18,1566,275,2,-60,1675,683,1267,574,422.8499,422.8499,422.8499,123,4,1,19,20,26,3,0.3718933,2,1,1.765249
19,918,731,2,60,958,340,599,501,393.2696,393.2696,393.2696,25,4,1,20,23,25,2,0.27872790000000003,2,1,1.324928
20,1178,627,2,-60,1480,374,1548,762,393.8591,393.8591,393.8591,111,4,2,21,24,20,3,1.160596,2,3,0.8520110999999999
21,258,796,2,60,505,728,323,548,256.3767,256.3767,256.3767,75,4,1,22,21,27,1,0.33045490000000005,2,2,3.20254
22,1533,502,2,60,1088,269,1109,771,502.1325,502.1325,502.1325,64,4,1,23,28,19,2,0.4007536,1,3,0.4491633
23,295,334,2,60,392,839,781,503,514.5454,514.5454,514.5454,76,4,1,24,32,30,3,0.42292920000000006,3,2,2.3607709999999997
24,1365,637,2,60,975,364,934,838,475.5649,475.5649,475.5649,67,4,2,25,22,21,1,0.4188429,3,1,0.7341619
25,1206,804,2,-60,1460,429,1658,836,453.1313,453.1313,453.1313,10,4,2,26,31,31,1,0.3690472,1,1,0.35185040000000006
26,585,540,2,60,1018,837,1059,314,525.1209,525.1209,525.1209,15,4,1,27,26,22,2,1.38048,2,3,1.7983259999999999
27,1490,442,2,-60,1160,822,996,346,503.2415,503.2415,503.2415,17,4,2,28,29,24,1,0.3176986,3,1,1.033439
28,315,273,2,-60,767,264,549,660,452.2444,452.2444,452.2444,1,4,1,29,27,17,3,0.3785929,2,2,0.569828
29,1002,376,2,-60,1170,570,918,619,257.1089,257.1089,257.1089,116,4,2,30,30,28,2,1.83778,3,3,1.431535
30,371,836,2,-60,516,242,958,665,611.4,611.4,611.4,38,4,2,31,19,23,1,0.47668320000000003,1,1,0.5291864000000001
31,1603,272,2,-60,1679,571,1382,487,308.3277,308.3277,308.3277,127,4,2,32,25,29,1,0.7829630999999999,2,1,4.9390019999999994
32,949,509,3,-60,793,833,590,536,360.0139,360.0139,360.0139,57,8,1,33,46,35,1,0.3765401,1,2,0.41061859999999994
33,1187,617,3,-60,1427,368,1523,700,346.0997,346.0997,346.0997,31,8,1,34,48,41,3,0.9358450999999999,3,2,0.7359842
34,1300,368,3,60,977,627,1363,777,413.8236,413.8236,413.8236,54,8,1,35,37,47,2,1.18784,2,1,0.7299165
