recog order,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
52,1664.0,179.0,4,-60,1187.0,490.0,1695.0,748.0,570,570,570,7,2,1,57,60,52,2,41,7,1,85
53,1118.0,227.0,4,-60,778.0,357.0,1061.0,587.0,365,365,365,118,2,2,52,58,53,2,59,6,3,76
54,472.0,707.0,4,-60,1083.0,796.0,855.0,223.0,618,618,618,8,2,1,58,56,54,2,57,6,1,107
55,992.0,878.0,4,-60,969.0,122.0,326.0,521.0,756,756,756,58,2,1,63,53,55,2,27,6,2,74
56,1024.0,321.0,4,60,1211.0,152.0,1263.0,398.0,252,252,252,68,2,2,60,64,56,2,66,7,3,107
57,1687.0,191.0,4,60,1599.0,683.0,1216.0,361.0,501,501,501,71,2,1,55,63,57,2,65,8,1,132
58,1538.0,146.0,4,-60,696.0,205.0,1168.0,905.0,845,845,845,21,2,2,51,51,58,1,81,8,1,89
59,519.0,217.0,4,60,899.0,703.0,288.0,789.0,617,617,617,67,2,2,61,49,59,2,43,6,2,89
60,1727.0,484.0,4,-60,1277.0,121.0,1188.0,693.0,579,579,579,87,2,2,62,50,60,1,118,8,1,122
61,1222.0,780.0,4,60,725.0,727.0,1019.0,323.0,501,501,501,38,2,2,53,57,61,1,89,8,1,63
62,650.0,809.0,4,60,922.0,174.0,1335.0,727.0,690,690,690,12,2,1,49,59,62,2,41,6,1,60
63,117.0,211.0,4,-60,311.0,954.0,858.0,415.0,769,769,769,70,2,1,64,55,63,2,207,6,1,79
64,1330.0,130.0,4,-60,1464.0,469.0,1691.0,184.0,366,366,366,90,2,1,54,61,64,2,71,6,1,76
65,1736.0,696.0,5,60,1039.0,957.0,1161.0,223.0,745,745,745,26,8,2,71,75,65,1,70,8,1,95
66,1589.0,482.0,5,60,974.0,836.0,974.0,126.0,711,711,711,2,8,2,70,77,66,1,53,6,2,113
67,593.0,912.0,5,60,143.0,559.0,673.0,346.0,572,572,572,45,8,2,74,65,67,1,55,7,1,67
68,1325.0,449.0,5,-60,848.0,265.0,927.0,771.0,512,512,512,22,8,2,73,68,68,2,66,8,1,67
69,1543.0,515.0,5,60,1005.0,877.0,960.0,230.0,649,649,649,48,8,2,79,76,69,3,86,8,1,72
70,723.0,731.0,5,-60,1045.0,553.0,730.0,364.0,368,368,368,81,8,2,65,67,70,1,50,6,1,79
71,1129.0,642.0,5,-60,858.0,675.0,1022.0,894.0,274,274,274,29,8,2,77,79,71,1,52,8,1,91
72,533.0,831.0,5,60,909.0,226.0,1244.0,854.0,712,712,712,111,8,1,80,70,72,2,75,8,2,179
73,383.0,902.0,5,60,470.0,124.0,1099.0,588.0,782,782,782,106,8,2,66,74,73,2,75,6,1,175
