study order,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
1,1533.0,790.0,1,60,1634.0,554.0,1787.0,759.0,256,256,256,72,1,1,1,4,13,2,60,6,1,116
2,1123.0,435.0,1,60,993.0,862.0,688.0,536.0,447,447,447,34,1,1,2,13,2,1,277,6,2,56
3,1475.0,560.0,1,-60,1180.0,120.0,947.0,596.0,530,530,530,119,1,2,3,15,5,1,73,8,1,34
4,1001.0,483.0,1,-60,509.0,125.0,445.0,731.0,609,609,609,29,1,1,4,1,14,1,124,8,1,55
5,615.0,520.0,1,60,831.0,785.0,493.0,839.0,342,342,342,7,1,2,5,9,9,1,52,7,1,77
6,718.0,449.0,1,-60,443.0,602.0,713.0,764.0,316,316,316,71,1,1,6,8,6,2,65,8,1,74
7,744.0,440.0,1,60,989.0,240.0,1039.0,552.0,316,316,316,65,1,2,7,14,3,1,113,6,1,35
8,1383.0,405.0,1,-60,693.0,127.0,797.0,864.0,745,745,745,26,1,1,8,16,10,2,63,7,2,56
9,553.0,684.0,1,60,713.0,267.0,994.0,614.0,447,447,447,66,1,2,9,11,16,1,48,6,1,34
10,1399.0,861.0,1,-60,1784.0,494.0,1274.0,345.0,531,531,531,126,1,1,10,5,4,2,50,7,1,36
11,1683.0,817.0,1,60,1135.0,957.0,1287.0,412.0,567,567,567,81,1,2,11,12,12,1,43,8,1,26
12,1374.0,438.0,1,60,1699.0,545.0,1443.0,773.0,343,343,343,102,1,1,12,3,1,2,54,6,1,32
13,1713.0,364.0,1,60,1467.0,954.0,1078.0,446.0,641,641,641,106,1,1,13,7,7,2,52,8,1,33
14,989.0,380.0,1,-60,981.0,125.0,764.0,260.0,255,255,255,70,1,2,14,10,15,1,74,8,1,64
15,454.0,195.0,1,-60,633.0,860.0,1120.0,373.0,690,690,690,112,1,2,15,6,8,1,50,6,1,26
16,1774.0,802.0,1,60,1192.0,954.0,1351.0,374.0,602,602,602,127,1,2,16,2,11,1,56,8,1,29
17,354.0,872.0,2,60,448.0,126.0,1046.0,580.0,752,752,752,122,8,2,17,28,22,1,50,6,1,27
18,490.0,401.0,2,60,1259.0,121.0,1116.0,927.0,818,818,818,3,8,1,18,19,18,2,86,6,1,23
19,806.0,944.0,2,60,943.0,588.0,1182.0,884.0,381,381,381,87,8,2,19,25,28,1,40,6,1,36
20,151.0,130.0,2,60,635.0,389.0,168.0,678.0,549,549,549,12,8,1,20,24,24,2,37,6,1,36
21,238.0,349.0,2,60,384.0,549.0,137.0,575.0,248,248,248,8,8,1,21,32,23,2,50,7,1,25
22,1756.0,789.0,2,-60,1490.0,120.0,1044.0,686.0,720,720,720,100,8,1,22,31,20,2,73,8,1,26
23,1091.0,188.0,2,60,1415.0,292.0,1162.0,520.0,340,340,340,92,8,2,23,22,30,1,39,6,1,24
24,512.0,459.0,2,-60,108.0,234.0,115.0,697.0,463,463,463,105,8,2,24,27,29,1,55,8,1,25
25,949.0,473.0,2,60,975.0,226.0,1175.0,372.0,248,248,248,89,8,2,25,18,17,1,53,6,1,30
26,330.0,221.0,2,-60,696.0,869.0,1074.0,229.0,745,745,745,19,8,1,26,30,19,2,62,6,1,22
27,1322.0,212.0,2,60,1518.0,633.0,1055.0,592.0,465,465,465,49,8,1,27,17,26,2,73,7,1,65
28,1535.0,919.0,2,60,793.0,879.0,1198.0,256.0,744,744,744,58,8,2,28,23,27,1,65,8,1,31
29,1772.0,806.0,2,-60,1360.0,122.0,974.0,822.0,799,799,799,103,8,2,29,29,31,1,68,8,1,28
30,376.0,203.0,2,60,608.0,452.0,276.0,528.0,341,341,341,41,8,1,30,26,32,3,188,6,2,46
31,1405.0,787.0,2,60,858.0,824.0,1099.0,332.0,549,549,549,88,8,2,31,20,25,1,69,8,1,32
32,1314.0,756.0,2,-60,1146.0,414.0,934.0,731.0,381,381,381,2,8,1,32,21,21,2,51,8,1,29
33,964.0,441.0,3,60,784.0,952.0,431.0,540.0,543,543,543,13,5,1,33,36,46,2,57,8,1,45
34,1466.0,546.0,3,-60,1002.0,412.0,1118.0,882.0,484,484,484,50,5,2,34,35,40,1,35,8,1,24
35,442.0,594.0,3,-60,865.0,935.0,949.0,399.0,544,544,544,69,5,2,35,46,34,1,44,6,1,27
36,1811.0,438.0,3,60,1813.0,865.0,1441.0,653.0,428,428,428,117,5,1,36,38,44,2,52,8,3,64
37,714.0,392.0,3,60,1166.0,570.0,785.0,872.0,486,486,486,116,5,1,37,39,33,2,49,6,1,160
38,649.0,327.0,3,-60,554.0,743.0,962.0,618.0,428,428,428,15,5,2,38,43,39,1,36,7,1,61
39,104.0,184.0,3,-60,514.0,951.0,974.0,213.0,871,871,871,104,5,1,39,33,35,2,59,6,1,27
40,1721.0,836.0,3,60,1262.0,958.0,1385.0,499.0,476,476,476,18,5,2,40,47,41,1,54,8,1,33
41,876.0,795.0,3,60,811.0,508.0,1091.0,595.0,294,294,294,11,5,2,41,48,47,1,70,7,1,26
42,187.0,469.0,3,60,825.0,325.0,630.0,949.0,654,654,654,67,5,1,42,45,38,2,55,8,3,131
43,1228.0,228.0,3,60,1694.0,871.0,904.0,953.0,795,795,795,33,5,1,43,34,42,2,64,7,1,23
44,1181.0,584.0,3,60,973.0,798.0,891.0,511.0,300,300,300,96,5,2,44,40,36,1,55,8,1,34
45,785.0,395.0,3,60,1075.0,438.0,892.0,668.0,294,294,294,38,5,1,45,44,45,2,57,8,3,81
46,335.0,704.0,3,60,405.0,956.0,151.0,891.0,263,263,263,90,5,1,46,37,43,1,231,6,2,25
47,375.0,360.0,3,60,1022.0,267.0,778.0,874.0,654,654,654,63,5,2,47,42,37,1,51,6,1,23
48,1661.0,832.0,3,60,873.0,927.0,1184.0,197.0,795,795,795,27,5,2,48,41,48,1,47,8,1,23
49,1344.0,299.0,4,-60,893.0,152.0,991.0,617.0,476,476,476,30,6,2,49,49,63,1,78,8,1,25
50,295.0,731.0,4,60,849.0,213.0,1020.0,952.0,758,758,758,99,6,2,50,59,51,1,123,6,1,26
51,694.0,847.0,4,-60,551.0,638.0,442.0,867.0,253,253,253,54,6,1,51,61,58,2,46,8,1,23
52,475.0,659.0,4,-60,817.0,238.0,282.0,153.0,542,542,542,108,6,2,52,60,53,1,47,7,1,25
53,957.0,939.0,4,60,810.0,672.0,1114.0,678.0,305,305,305,32,6,2,53,63,55,2,88,8,2,29
54,1820.0,775.0,4,-60,1687.0,317.0,1357.0,662.0,477,477,477,44,6,1,54,56,50,2,63,8,1,38
55,178.0,220.0,4,-60,419.0,956.0,936.0,380.0,775,775,775,10,6,1,55,53,62,2,55,6,1,24
56,121.0,313.0,4,60,709.0,126.0,576.0,729.0,617,617,617,62,6,2,56,50,59,1,45,6,1,22
57,1515.0,179.0,4,-60,823.0,431.0,1387.0,905.0,738,738,738,43,6,2,57,57,56,1,47,8,1,28
58,514.0,948.0,4,60,644.0,422.0,1034.0,797.0,542,542,542,35,6,1,58,64,57,2,54,6,1,29
59,1103.0,317.0,4,-60,368.0,243.0,672.0,917.0,739,739,739,4,6,1,59,58,60,1,43,7,2,24
60,975.0,384.0,4,60,1191.0,512.0,971.0,635.0,252,252,252,55,6,2,60,54,54,1,71,7,1,68
61,1218.0,864.0,4,60,1365.0,460.0,1641.0,789.0,430,430,430,51,6,2,61,62,61,1,61,6,1,29
62,698.0,690.0,4,60,952.0,125.0,1314.0,627.0,620,620,620,25,6,1,62,55,52,2,81,6,1,49
63,798.0,544.0,4,-60,591.0,766.0,887.0,835.0,305,305,305,40,6,1,63,52,49,2,65,7,1,29
64,831.0,800.0,4,-60,601.0,437.0,402.0,818.0,430,430,430,93,6,1,64,51,64,2,74,8,1,259
65,874.0,404.0,5,-60,725.0,172.0,599.0,418.0,276,276,276,85,4,2,65,77,69,1,59,8,1,22
66,163.0,699.0,5,-60,764.0,959.0,689.0,309.0,655,655,655,98,4,2,66,75,66,1,63,6,1,31
67,1637.0,323.0,5,-60,1341.0,291.0,1462.0,564.0,298,298,298,79,4,1,67,66,75,2,68,8,1,28
68,1819.0,933.0,5,60,1142.0,878.0,1528.0,319.0,680,680,680,20,4,1,68,71,65,2,56,8,1,39
69,239.0,792.0,5,60,348.0,123.0,872.0,552.0,677,677,677,37,4,2,69,69,68,1,65,6,1,53
70,998.0,875.0,5,-60,1516.0,645.0,1058.0,312.0,567,567,567,47,4,1,70,80,78,2,70,7,2,25
71,478.0,960.0,5,60,490.0,253.0,1096.0,617.0,707,707,707,16,4,2,71,79,80,1,47,6,1,28
72,963.0,837.0,5,60,835.0,478.0,1209.0,547.0,381,381,381,48,4,1,72,78,71,2,94,6,3,41
73,828.0,337.0,5,-60,1053.0,531.0,1109.0,240.0,298,298,298,109,4,2,73,70,74,2,55,6,1,23
74,1612.0,597.0,5,60,997.0,944.0,1003.0,238.0,707,707,707,101,4,1,74,68,77,2,51,7,2,77
75,1305.0,256.0,5,60,1096.0,648.0,860.0,271.0,446,446,446,74,4,2,75,76,67,1,45,8,1,31
76,1183.0,186.0,5,-60,1407.0,493.0,1561.0,146.0,381,381,381,125,4,2,76,74,70,1,57,6,1,19
77,197.0,908.0,5,60,101.0,530.0,476.0,636.0,390,390,390,21,4,1,77,65,73,2,89,6,3,165
78,445.0,504.0,5,-60,318.0,931.0,752.0,828.0,447,447,447,42,4,1,78,67,79,2,57,7,1,23
79,1430.0,848.0,5,60,1030.0,447.0,1577.0,301.0,567,567,567,124,4,2,79,72,76,1,39,7,1,23
80,1610.0,391.0,5,-60,1527.0,654.0,1796.0,595.0,277,277,277,53,4,1,80,73,72,2,50,7,1,27
81,382.0,283.0,6,-60,200.0,956.0,874.0,778.0,698,698,698,84,3,2,81,93,83,1,45,7,1,60
82,446.0,733.0,6,60,181.0,755.0,294.0,514.0,267,267,267,75,3,1,82,86,84,2,61,8,1,28
83,581.0,821.0,6,60,735.0,401.0,1021.0,744.0,447,447,447,9,3,1,83,90,86,1,66,8,2,50
84,138.0,428.0,6,-60,585.0,951.0,815.0,303.0,689,689,689,57,3,1,84,84,87,2,67,6,1,26
85,1402.0,467.0,6,-60,1817.0,587.0,1714.0,168.0,433,433,433,61,3,2,85,85,94,1,46,6,1,35
86,1773.0,417.0,6,60,1359.0,958.0,1097.0,329.0,682,682,682,110,3,1,86,89,82,1,75,6,2,56
87,428.0,311.0,6,-60,729.0,831.0,1029.0,311.0,601,601,601,60,3,2,87,83,93,1,54,6,1,26
88,1629.0,169.0,6,60,1818.0,900.0,1090.0,698.0,756,756,756,76,3,2,88,95,96,1,53,7,1,26
89,775.0,427.0,6,-60,513.0,566.0,765.0,724.0,298,298,298,45,3,2,89,92,88,1,45,8,1,65
90,162.0,809.0,6,-60,394.0,620.0,115.0,514.0,299,299,299,17,3,1,90,88,92,2,107,6,2,60
91,186.0,702.0,6,60,720.0,123.0,954.0,875.0,788,788,788,6,3,2,91,91,90,1,53,6,1,24
92,1130.0,628.0,6,-60,1672.0,890.0,1628.0,290.0,602,602,602,56,3,1,92,96,89,2,61,6,1,23
93,770.0,128.0,6,-60,1110.0,892.0,1602.0,216.0,837,837,837,59,3,1,93,82,81,2,61,6,1,37
94,1185.0,159.0,6,60,1559.0,382.0,1178.0,594.0,436,436,436,128,3,2,94,94,91,1,49,7,1,30
95,972.0,764.0,6,-60,1229.0,690.0,1037.0,505.0,268,268,268,86,3,2,95,81,95,1,78,6,1,43
96,1772.0,136.0,6,60,1713.0,567.0,1368.0,300.0,437,437,437,39,3,1,96,87,85,2,50,8,1,59
97,1716.0,484.0,7,60,1467.0,706.0,1399.0,379.0,334,334,334,64,2,1,97,108,103,2,43,8,1,30
98,793.0,810.0,7,60,828.0,477.0,1098.0,674.0,334,334,334,111,2,2,98,99,100,1,42,6,1,53
99,1323.0,289.0,7,-60,884.0,214.0,1039.0,632.0,446,446,446,83,2,1,99,110,112,2,189,8,1,29
100,171.0,420.0,7,-60,552.0,959.0,829.0,360.0,661,661,661,23,2,1,100,104,109,2,69,6,1,25
101,656.0,935.0,7,60,573.0,463.0,1023.0,627.0,480,480,480,97,2,2,101,100,99,3,85,8,2,190
102,1028.0,394.0,7,60,1292.0,444.0,1116.0,647.0,268,268,268,78,2,2,102,98,106,1,68,6,1,34
103,263.0,833.0,7,60,612.0,393.0,818.0,915.0,562,562,562,1,2,1,103,107,111,2,56,6,1,29
104,1548.0,317.0,7,-60,852.0,206.0,1104.0,865.0,706,706,706,114,2,2,104,103,101,1,69,8,1,28
105,1761.0,151.0,7,60,1477.0,797.0,1059.0,228.0,707,707,707,80,2,1,105,105,105,2,103,8,1,28
106,1280.0,804.0,7,-60,966.0,489.0,851.0,919.0,445,445,445,31,2,2,106,111,97,1,66,8,1,29
107,882.0,640.0,7,60,400.0,951.0,371.0,378.0,575,575,575,22,2,1,107,109,102,1,100,6,2,25
108,1486.0,348.0,7,-60,1105.0,758.0,1651.0,884.0,561,561,561,107,2,2,108,101,108,1,68,7,1,27
109,613.0,580.0,7,-60,732.0,821.0,881.0,598.0,269,269,269,120,2,1,109,97,107,1,110,6,1,214
110,1640.0,816.0,7,-60,1723.0,127.0,1085.0,400.0,694,694,694,95,2,2,110,102,104,1,90,7,1,65
111,1132.0,518.0,7,60,1566.0,313.0,1526.0,791.0,480,480,480,113,2,1,111,106,98,2,56,8,3,42
112,1787.0,332.0,7,60,1689.0,956.0,1197.0,559.0,633,633,633,91,2,2,112,112,110,1,41,8,1,34
113,1241.0,762.0,8,60,1301.0,204.0,1754.0,535.0,561,561,561,52,7,1,113,115,127,2,44,6,1,39
114,171.0,846.0,8,60,149.0,334.0,603.0,571.0,513,513,513,118,7,1,114,113,121,2,88,7,1,23
115,194.0,742.0,8,-60,845.0,957.0,706.0,286.0,686,686,686,28,7,2,115,127,115,1,49,6,1,26
116,1074.0,435.0,8,-60,1160.0,157.0,877.0,222.0,291,291,291,94,7,2,116,122,119,1,82,7,1,27
117,1685.0,584.0,8,60,1160.0,956.0,1099.0,315.0,645,645,645,82,7,2,117,119,116,1,71,8,1,27
118,502.0,682.0,8,60,231.0,246.0,743.0,229.0,514,514,514,24,7,2,118,123,113,1,60,7,1,24
119,744.0,643.0,8,60,464.0,804.0,464.0,481.0,324,324,324,115,7,2,119,126,120,1,69,8,1,27
120,1539.0,691.0,8,-60,1746.0,123.0,1151.0,228.0,605,605,605,121,7,2,120,128,117,1,60,7,1,22
121,1457.0,722.0,8,-60,1331.0,460.0,1167.0,701.0,291,291,291,123,7,1,121,116,122,2,56,8,1,42
122,1749.0,314.0,8,-60,1171.0,141.0,1310.0,729.0,605,605,605,36,7,1,122,120,128,2,64,8,1,35
123,1254.0,633.0,8,-60,1579.0,635.0,1418.0,353.0,325,325,325,46,7,1,123,118,123,2,69,6,1,22
124,1288.0,641.0,8,-60,1035.0,412.0,963.0,746.0,342,342,342,5,7,2,124,125,118,1,55,8,1,24
125,1079.0,173.0,8,-60,703.0,920.0,1538.0,873.0,838,838,838,73,7,1,125,121,126,2,56,7,1,23
126,670.0,784.0,8,60,638.0,122.0,1227.0,425.0,663,663,663,14,7,1,126,124,114,2,48,7,1,23
127,1497.0,465.0,8,60,1094.0,853.0,959.0,310.0,560,560,560,77,7,2,127,117,125,1,55,8,1,39
128,1329.0,774.0,8,60,991.0,722.0,1204.0,455.0,343,343,343,68,7,1,128,114,124,2,56,8,1,35
