,block,cond,duration,end,endloc,event,loc1end,loc1start,loc1x,loc1y,loc2end,loc2start,loc2x,loc2y,loc3end,loc3start,loc3x,loc3y,objonset,recog loc,recog order,refresh order,same/diff,start,startloc,study order,sub,trialend,trialnum,xend,xstart,yend,ystart
0,1,1.0,32,281.567,loc2end,ESACC,560.7754363379338,670.0839499644802,335.0,371.0,74.88184025516468,228.60992979308662,891.0,334.0,492.9962373081563,445.3049516904118,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,251.567,screen,5.0,ec106,,1,894.5,982.5,408.8,543.5
1,1,1.0,148,429.567,,EFIX,,552.3359303901929,335.0,371.0,,43.45779561827776,891.0,334.0,,516.9953384702806,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,283.567,loc2start,5.0,ec106,,1,,887.3,,377.3
2,1,1.0,10,439.567,loc2end,ESACC,554.7358380346451,549.2265470641419,335.0,371.0,17.77216925420191,32.32336616133909,891.0,334.0,540.6890511190328,525.9422021477266,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,431.567,loc2start,5.0,ec106,,1,889.4,884.2,351.7,365.6
3,1,1.0,280,719.567,,EFIX,,556.7599303110812,335.0,371.0,,9.900505037623057,891.0,334.0,,548.4188362921171,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,441.567,loc2start,5.0,ec106,,1,,891.1,,343.9
4,1,1.0,52,771.567,loc1end,ESACC,64.30279931698155,554.4855633828531,335.0,371.0,493.9036849427224,13.944174410842699,891.0,334.0,537.962870465983,543.9912131643305,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,721.567,loc2start,5.0,ec106,,1,397.6,889.0,356.3,347.8
5,1,1.0,382,1153.567,,EFIX,,28.428858577157115,335.0,371.0,,536.4568948200779,891.0,334.0,,563.8187652074024,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,773.567,loc1start,5.0,ec106,,1,,354.8,,350.6
6,1,1.0,52,1205.567,loc3end,ESACC,483.25215985032077,26.30589287593179,335.0,371.0,555.9854764290161,533.3676030656529,891.0,334.0,82.88697123191314,555.2111310123383,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,1155.567,loc1start,5.0,ec106,,1,574.2,358.2,790.9,358.6
7,1,1.0,174,1379.567,,EFIX,,499.4295245577698,335.0,371.0,,566.1339505806025,891.0,334.0,,71.18461912520151,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,1207.567,loc3start,5.0,ec106,,1,,579.3,,806.6
8,1,1.0,46,1425.567,screen,ESACC,435.72406405889495,506.13707629455484,335.0,371.0,287.1317815916587,571.1447627353331,891.0,334.0,277.93427280564015,67.48881388793252,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,1381.567,loc3start,5.0,ec106,,1,723.9,580.7,567.5,813.5
9,1,1.0,86,1511.567,,EFIX,,436.0883511399955,335.0,371.0,,292.1199240038242,891.0,334.0,,272.86049549174385,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,1427.567,screen,5.0,ec106,,1,,721.9,,572.2
10,1,1.0,50,1561.567,loc1end,ESACC,15.420116731075693,439.16339783729705,335.0,371.0,570.1829355566509,300.018482763979,891.0,334.0,556.5258125190601,264.08235457902146,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,1513.567,screen,5.0,ec106,,1,322.7,720.7,380.3,581.0
11,1,1.0,428,1989.567,,EFIX,,24.429490375363976,335.0,371.0,,574.3171597645329,891.0,334.0,,550.7531207355978,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,1563.567,loc1start,5.0,ec106,,1,,319.4,,389.8
12,1,1.0,54,2043.567,loc2end,ESACC,517.3879975414969,29.0082746815456,335.0,371.0,40.06419848193646,566.5641005217326,891.0,334.0,534.7776547313846,537.9714490565461,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,1991.567,loc1start,5.0,ec106,,1,851.5,328.2,340.7,399.2
13,1,1.0,414,2457.567,,EFIX,,505.0299496069515,335.0,371.0,,59.94372360806425,891.0,334.0,,507.4615749000115,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,2045.567,loc2start,5.0,ec106,,1,,840.0,,365.5
14,1,1.0,12,2469.567,loc2end,ESACC,546.3065897460875,516.4589044638499,335.0,371.0,56.19688603472617,59.7929761761363,891.0,334.0,503.44224097705586,499.8079631218374,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,2459.567,loc2start,5.0,ec106,,1,881.0,851.4,389.3,378.8
15,1,1.0,86,2555.567,,EFIX,,552.4185460319014,335.0,371.0,,58.63659267044769,891.0,334.0,,503.4741800728216,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,2471.567,loc2start,5.0,ec106,,1,,887.0,,392.5
16,1,1.0,54,2609.567,loc3end,ESACC,624.829776819255,552.1967221923722,335.0,371.0,641.8015659064723,55.252330267600506,891.0,334.0,88.04118354497513,506.4105251670822,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,2557.567,loc2start,5.0,ec106,,1,631.5,886.9,921.0,389.1
17,1,1.0,480,3089.567,,EFIX,,636.1557828079534,335.0,371.0,,656.0205637020839,891.0,334.0,,102.60302139800753,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,2611.567,loc3start,5.0,ec106,,1,,628.7,,935.3
18,1,1.0,178,3267.567,loc3end,ESACC,659.5669033540115,655.4930510691933,335.0,371.0,668.4104278061496,673.4231507752016,891.0,334.0,120.52593081988623,122.22577469584719,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,3091.567,loc3start,5.0,ec106,,1,642.5,631.7,954.5,955.5
19,1,1.0,190,3457.567,,EFIX,,605.1538399448524,335.0,371.0,,618.6274888816371,891.0,334.0,,63.78691088303303,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,3269.567,loc3start,5.0,ec106,,1,,634.4,,896.9
20,1,1.0,56,3513.567,loc2end,ESACC,538.7148503614877,617.5074574448473,335.0,371.0,37.25976382104425,629.6277154001402,891.0,334.0,519.992971106341,76.3744721749355,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,3459.567,loc3start,5.0,ec106,,1,873.7,636.5,367.0,909.9
21,1,1.0,392,3905.567,,EFIX,,521.813117888004,335.0,371.0,,53.161358146683966,891.0,334.0,,505.78229506379523,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,3515.567,loc2start,5.0,ec106,,1,,856.8,,374.7
22,1,1.0,12,3917.567,loc2end,ESACC,541.9346270538542,522.0185437319253,335.0,371.0,21.079373804740985,47.103715352400826,891.0,334.0,537.146479091132,513.2316825762026,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,3907.567,loc2start,5.0,ec106,,1,876.5,857.0,349.3,366.6
23,1,1.0,710,4627.567,,EFIX,,554.3342042486644,335.0,371.0,,7.057619995437577,891.0,334.0,,550.2143309656701,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,3919.567,loc2start,5.0,ec106,,1,,888.5,,340.6
24,1,1.0,52,4679.567,loc3end,ESACC,502.657229133333,565.1480690934014,335.0,371.0,430.39875696846525,16.909760495051394,891.0,334.0,126.89795112609183,548.2539010349128,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,4629.567,loc2start,5.0,ec106,,1,698.0,899.7,718.7,348.5
25,1,1.0,42,4721.567,,blink,,512.5252188917146,335.0,371.0,,447.4573722713707,891.0,334.0,,109.79298702558374,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,4681.567,loc3start,5.0,ec106,,1,,694.7,,736.1
26,1,1.0,288,5009.567,loc2end,ESACC,568.8555001052553,515.3976037973014,335.0,371.0,51.878511929314264,455.64272187756933,891.0,334.0,518.8022551994161,101.61048174278086,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,4723.567,loc3start,5.0,ec106,,1,903.7,691.2,384.3,743.5
27,1,1.0,36,5045.567,,EFIX,,561.7349018887824,335.0,371.0,,15.814550262337491,891.0,334.0,,546.3274659030059,645.0,834.0,2060.433,2.0,1.0,15.0,2.0,5011.567,loc2start,5.0,ec106,,1,,896.3,,348.9
28,1,2.0,168,326.366,,EFIX,,577.1171544842521,1463.0,812.0,,276.0434929499335,1172.0,287.0,,335.2524571125467,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,160.36599999999999,screen,8.0,ec106,,2,,984.4,,489.5
29,1,2.0,40,366.366,loc3end,ESACC,600.3167913693569,576.1394015340385,1463.0,812.0,592.4620240994354,278.9329847830837,1172.0,287.0,9.5,332.03706118444063,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,328.366,screen,8.0,ec106,,2,863.0,983.5,792.5,492.6
30,1,2.0,210,576.366,,EFIX,,602.0968692826762,1463.0,812.0,,600.9348051161624,1172.0,287.0,,2.1540659228537846,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,368.366,loc3start,8.0,ec106,,2,,861.0,,801.2
31,1,2.0,54,630.366,loc1end,ESACC,60.94399067996768,606.3190001970909,1463.0,812.0,591.2072140967159,608.2944435057746,1172.0,287.0,542.6436860408495,8.168843247363723,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,578.366,loc3start,8.0,ec106,,2,1404.9,856.7,830.4,807.2
32,1,2.0,154,784.366,,EFIX,,55.78108998576495,1463.0,812.0,,603.0208371192491,1172.0,287.0,,552.5536444545452,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,632.366,loc1start,8.0,ec106,,2,,1414.3,,839.2
33,1,2.0,18,802.366,loc1end,ESACC,38.4853218773079,60.61097260397662,1463.0,812.0,638.3120866786089,620.8225914059508,1172.0,287.0,624.9072891237546,560.5779963573311,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,786.366,loc1start,8.0,ec106,,2,1486.6,1421.0,842.4,855.7
34,1,2.0,964,1766.366,,EFIX,,46.49053667145597,1463.0,812.0,,643.8800897682735,1172.0,287.0,,636.8511364518398,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,804.366,loc1start,8.0,ec106,,2,,1498.6,,841.9
35,1,2.0,246,2012.366,screen,ESACC,197.02933791697114,48.9388393814156,1463.0,812.0,779.714922263259,648.073460342267,1172.0,287.0,637.9189290184138,634.3067160293984,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,1768.366,loc1start,8.0,ec106,,2,1466.4,1495.6,1009.0,848.5
36,1,2.0,140,2152.366,,EFIX,,61.66952245639651,1463.0,812.0,,661.4708837129567,1172.0,287.0,,626.4256779538973,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,2014.366,loc1start,8.0,ec106,,2,,1485.8,,869.3
37,1,2.0,62,2214.366,loc2end,ESACC,427.73536211073315,35.0891721190455,1463.0,812.0,172.70072379697774,634.6244952725982,1172.0,287.0,541.9516030052869,624.068305556371,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,2154.366,loc1start,8.0,ec106,,2,1261.5,1486.0,434.7,838.5
38,1,2.0,126,2340.366,,EFIX,,449.60801816693623,1463.0,812.0,,150.69694754705546,1172.0,287.0,,537.8990332766922,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,2216.366,loc2start,8.0,ec106,,2,,1242.1,,420.4
39,1,2.0,24,2364.366,loc2end,ESACC,568.6710912293679,464.4237397033015,1463.0,812.0,32.07818573423373,136.04561734947583,1172.0,287.0,590.2599512079402,539.0096566852953,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,2342.366,loc2start,8.0,ec106,,2,1192.1,1232.0,312.0,409.1
40,1,2.0,358,2722.366,,EFIX,,585.9165213577784,1463.0,812.0,,15.230561381643243,1172.0,287.0,,597.9800749188889,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,2366.366,loc2start,8.0,ec106,,2,,1183.4,,297.1
41,1,2.0,64,2786.366,loc1end,ESACC,60.75532898437805,577.7590674320915,1463.0,812.0,658.5188000353521,22.880996481796846,1172.0,287.0,645.996292559021,593.2617803297294,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,2724.366,loc2start,8.0,ec106,,2,1506.9,1186.5,854.0,304.7
42,1,2.0,966,3752.366,,EFIX,,65.79513659838392,1463.0,812.0,,664.2476947645358,1172.0,287.0,,647.6025015393316,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,2788.366,loc1start,8.0,ec106,,2,,1508.0,,860.0
43,1,2.0,190,3942.366,loc1end,ESACC,34.94810438349988,52.39551507524288,1463.0,812.0,633.1959965129281,652.6364148589934,1172.0,287.0,627.2633976249532,628.9270943440106,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,3754.366,loc1start,8.0,ec106,,2,1489.4,1489.5,834.9,857.2
44,1,2.0,88,4030.366,,EFIX,,39.247165502746846,1463.0,812.0,,638.9418909415785,1172.0,287.0,,626.0114535693417,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,3944.366,loc1start,8.0,ec106,,2,,1487.7,,842.5
45,1,2.0,54,4084.366,loc3end,ESACC,571.0832688846697,41.43066497173318,1463.0,812.0,621.2266092176026,641.4309783601038,1172.0,287.0,49.74032569254046,625.6280844079811,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,4032.366,loc1start,8.0,ec106,,2,892.7,1487.1,841.9,845.7
46,1,2.0,304,4388.366,,EFIX,,598.0835811155495,1463.0,812.0,,644.2001009003336,1172.0,287.0,,52.21082263286035,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,4086.366,loc3start,8.0,ec106,,2,,866.4,,854.1
47,1,2.0,6,4394.366,loc3end,ESACC,619.2038517322062,609.1940659592804,1463.0,812.0,661.904230232743,652.3253865978236,1172.0,287.0,63.35147985643272,55.90536646870314,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,4390.366,loc3start,8.0,ec106,,2,845.9,855.5,863.0,857.4
48,1,2.0,280,4674.366,,EFIX,,623.081768309746,1463.0,812.0,,651.972307694123,1172.0,287.0,,51.62257258215639,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,4396.366,loc3start,8.0,ec106,,2,,841.0,,848.7
49,1,2.0,14,4688.366,loc3end,ESACC,616.5245331696055,620.4051095856641,1463.0,812.0,622.39898778838,647.9463712376203,1172.0,287.0,22.638462845343543,47.67074574621211,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,4676.366,loc3start,8.0,ec106,,2,846.5,843.5,817.5,845.5
50,1,2.0,358,5046.366,,EFIX,,615.1050804537384,1463.0,812.0,,619.1098933145876,1172.0,287.0,,19.602550854416897,863.0,802.0,2047.634,3.0,2.0,13.0,3.0,4690.366,loc3start,8.0,ec106,,2,,847.9,,814.5
51,1,2.0,30,281.22399999999993,loc2end,ESACC,589.6164600823149,682.2837679441011,1654.0,800.0,35.51858668359425,188.0764206379949,1060.0,726.0,563.7649953659769,494.4446784019422,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,253.22399999999993,screen,6.0,ec106,,3,1074.1,1022.5,693.4,541.7
52,1,2.0,200,481.22399999999993,,EFIX,,582.6857986942877,1654.0,800.0,,31.437875246269456,1060.0,726.0,,566.7820921659398,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,283.22399999999993,loc2start,6.0,ec106,,3,,1079.7,,701.5
53,1,2.0,60,541.2239999999999,loc1end,ESACC,29.12404504872211,576.8849538686202,1654.0,800.0,569.5343799982579,35.01785258978626,1060.0,726.0,582.5372176951444,563.7102535877807,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,483.22399999999993,loc2start,6.0,ec106,,3,1625.4,1085.5,794.5,702.0
54,1,2.0,170,711.2239999999999,,EFIX,,16.22652150030928,1654.0,800.0,,590.3017025216851,1060.0,726.0,,606.1700256528692,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,543.2239999999999,loc1start,6.0,ec106,,3,,1643.9,,812.7
55,1,2.0,14,725.2239999999999,loc1end,ESACC,47.642523023030634,18.532673849177804,1654.0,800.0,628.110667000649,594.977865134494,1060.0,726.0,645.5983348801328,612.1077192782329,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,713.2239999999999,loc1start,6.0,ec106,,3,1677.4,1647.9,841.5,817.5
56,1,2.0,108,833.2239999999999,,EFIX,,52.43824939869754,1654.0,800.0,,633.0704305209651,1060.0,726.0,,650.0538208487048,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,727.2239999999999,loc1start,6.0,ec106,,3,,1681.9,,844.4
57,1,2.0,58,891.2239999999999,loc3end,ESACC,557.3185534324153,48.093658625644274,1654.0,800.0,608.5290214936342,630.8231130832162,1060.0,726.0,53.60755543764323,645.6049875891605,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,835.2239999999999,loc1start,6.0,ec106,,3,1468.1,1680.4,274.6,840.2
58,1,2.0,626,1517.224,,EFIX,,565.8650457485425,1654.0,800.0,,587.1337581846236,1060.0,726.0,,32.775753233144776,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,893.2239999999999,loc3start,6.0,ec106,,3,,1438.2,,276.9
59,1,2.0,54,1571.224,loc1end,ESACC,31.149478326289792,566.8660247360041,1654.0,800.0,580.880271656733,579.0895353915489,1060.0,726.0,567.2615710587137,31.725226555534626,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,1519.224,loc3start,6.0,ec106,,3,1639.0,1429.0,772.7,279.7
60,1,2.0,158,1729.224,,EFIX,,14.375326083258125,1654.0,800.0,,586.8443149592573,1060.0,726.0,,585.2616936038099,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,1573.224,loc1start,6.0,ec106,,3,,1643.3,,790.4
61,1,2.0,16,1745.224,loc1end,ESACC,59.26634795564849,8.121576201698854,1654.0,800.0,632.4843871590824,592.886802011986,1060.0,726.0,657.4515191251747,600.4028314390264,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,1731.224,loc1start,6.0,ec106,,3,1679.5,1647.6,853.5,805.0
62,1,2.0,230,1975.224,,EFIX,,73.65439565972963,1654.0,800.0,,634.5617148867397,1060.0,726.0,,671.7475493070295,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,1747.224,loc1start,6.0,ec106,,3,,1678.1,,869.6
63,1,2.0,52,2027.224,loc2end,ESACC,517.323428814122,74.5821694508815,1654.0,800.0,99.1439862018872,628.8040235240229,1060.0,726.0,609.9555147713643,671.9393573827924,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,1977.224,loc1start,6.0,ec106,,3,1136.8,1671.5,788.7,872.5
64,1,2.0,268,2295.224,,EFIX,,556.230168185797,1654.0,800.0,,69.33974329343886,1060.0,726.0,,624.9431974187734,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,2029.224,loc2start,6.0,ec106,,3,,1098.0,,784.0
65,1,2.0,10,2305.224,loc2end,ESACC,582.3015370063865,563.910950416819,1654.0,800.0,40.28746703380596,58.62047423895506,1060.0,726.0,621.8313919383614,622.0073633004677,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,2297.224,loc2start,6.0,ec106,,3,1072.8,1090.6,764.2,776.0
66,1,2.0,244,2549.224,,EFIX,,590.2800098258452,1654.0,800.0,,40.27517846018811,1060.0,726.0,,627.8842966661931,1421.0,249.0,2032.776,2.0,3.0,14.0,3.0,2307.224,loc2start,6.0,ec106,,3,,1064.7,,766.0
