study order,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
48,1572,634,3,60,1369,241,1130,613,442.4986,442.4986,442.4986,35,6,2,48,41,41,1,0.43300029999999995,1,2,0.8682191999999999
49,1543,292,4,-60,1490,836,1045,518,546.8821,546.8821,546.8821,124,7,2,49,58,55,1,0.5026219,1,2,0.46437920000000005
50,722,458,4,-60,1098,266,1076,688,422.1564,422.1564,422.1564,128,7,2,50,51,51,3,0.2952393,1,1,0.3555759
51,602,599,4,60,380,367,290,675,321.123,321.123,321.123,99,7,1,51,52,54,1,0.4172464,3,1,0.6274603
52,346,702,4,-60,262,242,702,399,467.488,467.488,467.488,85,7,1,52,53,64,1,0.6291557,3,2,0.7323198000000001
53,441,837,4,-60,512,422,836,691,421.1187,421.1187,421.1187,100,7,1,53,49,50,2,2.652986,1,1,0.3162143
54,905,715,4,60,789,442,611,679,296.1959,296.1959,296.1959,45,7,2,54,54,58,1,1.626344,3,1,0.7011897
55,1240,800,4,-60,1164,323,1615,496,482.7432,482.7432,482.7432,42,7,2,55,63,63,2,0.48646819999999996,3,2,2.065298
56,813,641,4,-60,526,787,543,466,321.753,321.753,321.753,81,7,2,56,56,62,1,0.8688021,3,1,0.6237399
57,325,777,4,-60,243,458,560,547,328.8237,328.8237,328.8237,88,7,2,57,50,57,1,0.3446127,2,1,0.7578483
58,438,756,4,-60,357,245,840,430,517.5713,517.5713,517.5713,17,7,2,58,55,52,2,0.3250723,1,3,0.5708854999999999
59,1250,659,4,60,1064,242,796,612,456.4263,456.4263,456.4263,9,7,1,59,57,60,2,0.5436741999999999,1,2,0.47284030000000005
60,808,244,4,60,602,805,1191,703,597.8043,597.8043,597.8043,30,7,1,60,59,53,2,0.4877518,2,1,1.105899
61,835,515,4,60,1142,834,1265,409,442.8724,442.8724,442.8724,125,7,1,61,60,49,1,0.3599806,3,2,1.610682
62,1273,268,4,-60,1115,725,798,360,483.8274,483.8274,483.8274,122,7,2,62,61,61,1,0.5185116,3,1,0.6357625
63,524,418,4,60,757,598,797,306,295.0813,295.0813,295.0813,51,7,1,63,64,56,2,1.825104,3,2,0.6844941
64,1097,345,4,60,1060,834,1502,621,490.1031,490.1031,490.1031,26,7,1,64,62,59,2,0.31119,1,3,0.6785873
65,283,307,5,-60,557,240,478,511,282.2074,282.2074,282.2074,60,1,2,65,65,79,2,1.287957,2,2,0.5552912
66,1050,304,5,60,793,535,1122,642,345.5836,345.5836,345.5836,102,1,2,66,73,67,3,0.5603291,1,3,3.166397
67,1381,676,5,60,1638,259,1148,245,489.949,489.949,489.949,69,1,1,67,78,77,2,0.3161561,2,1,0.5877226
68,1317,316,5,60,947,638,1411,798,491.0804,491.0804,491.0804,32,1,2,68,68,70,1,0.29761079999999995,1,3,2.636905
69,842,240,5,-60,793,641,470,398,404.1633,404.1633,404.1633,31,1,2,69,75,72,1,0.2857105,3,1,0.8374815999999999
70,1247,581,5,60,1079,245,872,558,375.7047,375.7047,375.7047,11,1,2,70,74,65,1,0.3505705,1,2,0.5073521
71,1222,581,5,-60,935,836,858,460,383.5844,383.5844,383.5844,52,1,1,71,69,76,3,0.4177017,3,1,3.707355
72,921,781,5,-60,781,506,1089,522,308.7151,308.7151,308.7151,70,1,2,72,71,73,1,0.4108866,2,1,0.6331137
73,473,782,5,-60,360,352,789,469,444.7752,444.7752,444.7752,56,1,1,73,79,74,1,0.5493899,1,3,0.5165149
74,565,635,5,-60,629,241,938,494,398.7606,398.7606,398.7606,14,1,1,74,66,71,3,0.2403535,2,3,0.4404981
75,459,254,5,60,778,836,1122,269,663.1697,663.1697,663.1697,2,1,1,75,72,75,1,0.3109364,3,2,0.6059380999999999
76,1492,594,5,60,1676,302,1331,289,344.8855,344.8855,344.8855,117,1,1,76,67,68,3,0.5793121,1,2,0.5889118
77,418,425,5,-60,920,243,827,769,534.4315,534.4315,534.4315,50,1,1,77,77,78,3,0.4336951,2,2,0.5303872
78,676,597,5,-60,805,317,983,569,308.2742,308.2742,308.2742,83,1,1,78,70,80,3,1.222348,1,1,0.6109423
79,1428,330,5,-60,1661,831,1111,782,552.0806,552.0806,552.0806,29,1,2,79,80,66,1,0.4835063,2,1,2.985665
80,363,628,5,-60,811,247,917,826,588.3196,588.3196,588.3196,65,1,2,80,76,69,3,0.4870322,1,1,0.4828057
81,1156,570,6,60,1009,249,804,537,353.5435,353.5435,353.5435,58,3,2,81,86,89,1,0.3194901,3,1,0.5544274
82,1177,397,6,-60,1266,815,859,683,427.6915,427.6915,427.6915,95,3,2,82,91,87,1,0.34506129999999996,2,1,0.5303551999999999
83,1322,675,6,-60,904,835,975,393,447.1387,447.1387,447.1387,37,3,1,83,83,85,2,0.38830390000000004,3,1,0.4951237
84,464,451,6,60,818,830,969,334,518.3763,518.3763,518.3763,118,3,2,84,93,82,1,0.4041792,1,1,0.9834636
85,1673,443,6,60,1307,245,1318,661,416.5921,416.5921,416.5921,120,3,2,85,88,92,1,0.46655749999999996,3,1,0.5119741
86,1102,730,6,-60,1259,309,1545,655,449.3039,449.3039,449.3039,46,3,1,86,89,91,3,0.380856,1,1,0.6425482
87,1546,332,6,-60,1677,834,1177,696,518.3213,518.3213,518.3213,90,3,2,87,87,88,1,0.4479143,3,3,0.9232219000000002
88,729,450,6,60,1097,814,1228,313,517.465,517.465,517.465,97,3,1,88,85,86,3,0.6030759,3,2,0.7040254
89,653,644,6,-60,934,322,1072,726,426.9485,426.9485,426.9485,112,3,1,89,82,93,2,0.45524970000000003,1,1,0.7771075
90,1152,796,6,-60,1335,385,1600,749,450.4587,450.4587,450.4587,113,3,2,90,92,95,1,0.43260429999999994,1,1,0.5646287
91,1120,539,6,60,1146,838,1392,666,300.1883,300.1883,300.1883,33,3,2,91,90,84,2,0.7547316999999999,2,3,0.44434709999999994
92,563,794,6,-60,857,374,1074,839,512.9776,512.9776,512.9776,114,3,2,92,81,96,3,3.6444349999999996,1,1,0.5787631
93,538,721,6,-60,530,422,793,564,299.4562,299.4562,299.4562,49,3,1,93,94,94,3,0.4491686,3,2,0.4323734
94,617,450,6,60,828,840,1060,462,443.1625,443.1625,443.1625,15,3,1,94,95,81,2,0.3881892,1,1,0.6279563
