loc1x	loc1y	block	angle	loc3x	loc3y	loc2x	loc2y	loc1-loc2dist	loc1-loc3dist	loc2-loc3dist	picid	contextid	cond	study order	refresh order	recog order	same/diff	same/diff rt	recog button	recog loc	recog rt
582	-197	1	60	-63	-417	68	252	683	683	683	79	7	2	7	4	1	1	63	8	1	26
-335	-406	1	60	-659	-144	-271	6	417	417	417	32	7	1	10	8	2	2	68	7	1	58
426	216	1	-60	-115	-85	416	-404	621	621	621	77	7	2	15	13	3	1	106	8	1	43
214	-39	1	60	-243	-414	-340	169	592	592	592	102	7	1	9	11	4	2	55	8	1	20
481	341	1	-60	196	-210	816	-182	622	622	622	122	7	1	3	14	5	3	72	6	3	56
-847	105	1	60	-189	412	-253	-311	726	726	726	48	7	2	2	9	6	1	55	6	1	36
-537	259	1	60	-585	-55	-834	144	319	319	319	18	7	1	13	3	7	3	115	8	1	46
-119	-238	1	60	222	417	618	-206	738	738	738	108	7	1	6	5	8	2	61	6	1	26
118	-132	1	-60	579	-405	585	130	536	536	536	34	7	1	14	7	9	3	88	6	1	32
-423	-403	1	60	-721	263	4	188	730	730	730	19	7	1	16	1	10	2	81	7	1	25
19	400	1	60	286	83	-123	10	416	416	416	53	7	2	12	16	11	3	111	7	1	28
661	37	1	60	130	-411	7	273	696	696	696	127	7	2	5	12	12	1	78	8	1	21
241	385	1	-60	501	-82	776	376	536	536	536	24	7	2	1	2	13	1	70	6	1	26
-260	146	1	60	-151	-352	-638	-197	511	511	511	92	7	1	8	10	14	1	90	7	1	33
-368	40	1	-60	-119	-405	142	32	511	511	511	54	7	2	4	6	15	1	100	6	1	29
-161	-70	1	-60	-242	238	-468	13	319	319	319	4	7	2	11	15	16	1	42	8	1	24
246	-169	2	-60	460	232	6	216	454	454	454	67	1	2	28	21	17	1	51	7	1	42
823	-347	2	60	538	-419	618	-136	295	295	295	8	1	2	17	24	18	1	29	8	1	26
354	-150	2	-60	216	419	-208	14	586	586	586	25	1	1	25	27	19	1	44	8	1	109
652	-329	2	60	128	-291	422	144	526	526	526	52	1	1	31	23	20	3	116	7	2	28
-579	-295	2	-60	206	-391	-103	336	791	791	791	43	1	2	27	18	21	1	57	6	1	25
494	173	2	60	231	-391	-127	119	624	624	624	38	1	2	23	20	22	1	56	8	1	25
-179	260	2	-60	-86	-184	252	118	454	454	454	44	1	1	19	25	23	2	148	6	1	34
-610	174	2	-60	-314	-415	48	135	660	660	660	2	1	2	32	19	24	1	73	6	1	31
-96	-282	2	60	32	330	497	-87	625	625	625	103	1	1	24	26	25	1	90	8	2	27
-291	-67	2	60	-696	-247	-650	194	444	444	444	7	1	2	21	22	26	3	96	6	3	35
-113	-315	2	60	-106	414	521	44	729	729	729	82	1	1	18	30	27	2	72	6	1	53
-194	399	2	-60	-59	-24	240	304	445	445	445	55	1	1	20	17	28	2	79	6	1	36
733	383	2	-60	479	220	748	81	303	303	303	13	1	1	29	29	29	2	41	8	2	54
-230	-38	2	-60	462	-414	442	373	788	788	788	21	1	1	26	31	30	2	76	6	1	34
367	143	2	-60	-139	7	232	-364	525	525	525	60	1	2	30	32	31	1	41	8	1	118
0	-224	2	-60	257	-64	-10	78	303	303	303	72	1	2	22	28	32	1	58	7	1	38
226	-398	3	-60	206	207	-308	-113	606	606	606	70	5	1	47	33	33	2	57	8	1	49
-217	325	3	60	115	-56	-381	-153	506	506	506	66	5	2	35	34	34	1	41	7	1	26
-48	359	3	-60	-146	-156	349	16	525	525	525	107	5	1	45	48	35	2	48	7	1	23
235	-328	3	60	345	186	734	-166	525	525	525	29	5	2	34	38	36	1	65	6	1	25
340	289	3	-60	-39	-180	557	-275	605	605	605	39	5	2	36	45	37	1	31	7	1	30
412	-252	3	-60	593	415	-75	238	691	691	691	57	5	1	39	37	38	2	82	7	1	23
28	154	3	60	-176	-64	-263	222	299	299	299	110	5	2	44	35	39	1	72	6	2	39
-349	-112	3	-60	85	-136	-111	251	435	435	435	106	5	1	46	41	40	2	62	7	2	45
-524	-204	3	60	-336	415	105	-57	646	646	646	74	5	2	40	36	41	1	50	6	1	28
713	-179	3	-60	358	413	23	-191	691	691	691	115	5	1	33	47	42	2	45	8	1	49
-588	292	3	-60	-743	-415	-53	-196	725	725	725	119	5	2	42	39	43	3	61	7	1	48
295	-274	3	60	459	206	792	-176	507	507	507	90	5	1	43	42	44	2	55	6	1	26
-812	-100	3	60	-524	-184	-742	-391	300	300	300	113	5	1	48	43	45	2	52	6	1	23
-177	-248	3	-60	-161	186	-545	-18	434	434	434	83	5	2	37	40	46	2	98	7	1	40
-346	-279	3	60	-20	413	415	-215	764	764	764	47	5	1	41	44	47	2	68	6	1	21
-739	-420	3	60	-469	419	122	-234	881	881	881	10	5	2	38	46	48	1	40	6	1	38
-555	-45	4	60	32	233	-21	-414	650	650	650	46	8	1	60	54	49	2	53	6	1	26
-554	-102	4	60	-450	413	-57	66	525	525	525	9	8	2	63	62	50	1	28	6	1	20
71	-266	4	60	-280	-359	-186	-8	365	365	365	88	8	2	51	55	51	1	43	8	1	28
334	58	4	60	14	-285	-124	164	471	471	471	84	8	2	52	56	52	2	45	8	1	23
361	81	4	60	211	413	573	377	365	365	365	120	8	1	54	52	53	3	65	7	1	28
-737	148	4	-60	-156	-416	42	368	810	810	810	87	8	2	61	49	54	1	48	6	1	22
623	135	4	-60	157	63	453	-305	472	472	472	94	8	1	53	61	55	2	61	7	2	36
