,block,cond,duration,end,endloc,event,loc1end,loc1start,loc1x,loc1y,loc2end,loc2start,loc2x,loc2y,loc3end,loc3start,loc3x,loc3y,objonset,recog loc,same/diff,start,startloc,sub,trialend,trialnum,xend,xstart,yend,ystart
20,1,2.0,22,461.0,loc1end,ESACC,25.387004549572154,114.26394882026449,1774.0,802.0,582.5153216869064,495.11579453699505,1351.0,374.0,606.3986312649462,520.675954889411,1192.0,954.0,2033.0,1.0,1.0,441.0,loc1start,ec107,8270.0,2,1771.9,1671.6,776.7,751.3
21,1,2.0,1638,2099.0,,EFIX,,28.963770472781942,1774.0,802.0,,573.9046087983613,1351.0,374.0,,594.9333576124304,1192.0,954.0,2033.0,1.0,1.0,463.0,loc1start,ec107,8270.0,2,,1759.9,,776.7
23,1,2.0,218,2317.0,loc1end,ESACC,9.060905032059484,45.79574216016161,1774.0,802.0,601.4553183736926,558.5153981762722,1351.0,374.0,593.5123419104273,594.0596350535861,1192.0,954.0,2033.0,1.0,1.0,2101.0,loc1start,ec107,8270.0,2,1767.3,1753.8,808.1,760.9
24,1,2.0,742,3059.0,,EFIX,,41.28450072363717,1774.0,802.0,,567.489215756564,1351.0,374.0,,604.9132251819265,1192.0,954.0,2033.0,1.0,1.0,2319.0,loc1start,ec107,8270.0,2,,1765.5,,761.6
25,1,2.0,52,3111.0,screen,ESACC,512.9185217946415,50.63328944479122,1774.0,802.0,350.3284316181032,553.1232502797184,1351.0,374.0,251.45140683639053,590.8280037371281,1192.0,954.0,2033.0,1.0,1.0,3061.0,loc1start,ec107,8270.0,2,1268.6,1749.3,714.5,757.8
26,1,2.0,262,3373.0,,EFIX,,536.7533884383031,1774.0,802.0,,351.0589694054262,1351.0,374.0,,250.94740484810762,1192.0,954.0,2033.0,1.0,1.0,3113.0,screen,ec107,8270.0,2,,1245.4,,708.8
27,1,2.0,20,3393.0,screen,ESACC,629.4752497120121,542.4978156638053,1774.0,802.0,362.4139759998225,340.77042125161034,1351.0,374.0,276.4884988566433,261.97686920795127,1192.0,954.0,2033.0,1.0,1.0,3375.0,screen,ec107,8270.0,2,1156.5,1241.8,679.8,696.8
28,1,2.0,214,3607.0,,EFIX,,647.7456985576979,1774.0,802.0,,359.38320773235915,1351.0,374.0,,293.00800330366405,1192.0,954.0,2033.0,1.0,1.0,3395.0,screen,ec107,8270.0,2,,1140.8,,665.5
29,1,2.0,40,3647.0,loc3end,ESACC,515.476498009366,649.3041814126873,1774.0,802.0,562.0754575677539,359.47589627122426,1351.0,374.0,86.05823609626226,294.14132657618853,1192.0,954.0,2033.0,1.0,1.0,3609.0,screen,ec107,8270.0,2,1274.9,1139.4,930.9,664.6
30,1,2.0,524,4171.0,,EFIX,,488.2796432373564,1774.0,802.0,,533.2819235638875,1351.0,374.0,,115.72125993092186,1192.0,954.0,2033.0,1.0,1.0,3649.0,loc3start,ec107,8270.0,2,,1296.6,,904.5
31,1,2.0,50,4221.0,loc1end,ESACC,61.78672996687876,476.4780162819686,1774.0,802.0,540.0883261097207,507.88866890293986,1351.0,374.0,576.4199857742617,134.3208844521209,1192.0,954.0,2033.0,1.0,1.0,4173.0,loc3start,ec107,8270.0,2,1733.2,1303.9,755.6,879.7
32,1,2.0,292,4513.0,,EFIX,,56.06647839841553,1774.0,802.0,,547.6168825008958,1351.0,374.0,,588.8495987941234,1192.0,954.0,2033.0,1.0,1.0,4223.0,loc1start,ec107,8270.0,2,,1745.7,,753.6
33,1,2.0,8,4521.0,loc1end,ESACC,45.248756889001974,48.312834733639825,1774.0,802.0,572.0540621304947,559.5887150398944,1351.0,374.0,616.4905919801209,601.809047788416,1192.0,954.0,2033.0,1.0,1.0,4515.0,loc1start,ec107,8270.0,2,1776.1,1760.2,756.8,755.7
34,1,2.0,388,4909.0,,EFIX,,41.59435057793305,1774.0,802.0,,575.0546843561923,1351.0,374.0,,615.9815662826283,1192.0,954.0,2033.0,1.0,1.0,4523.0,loc1start,ec107,8270.0,2,,1776.8,,760.5
35,1,2.0,54,4963.0,screen,ESACC,574.607570433944,41.36725758374617,1774.0,802.0,355.87562434086436,568.0885934429593,1351.0,374.0,254.4355714124894,606.051524212257,1192.0,954.0,2033.0,1.0,1.0,4911.0,loc1start,ec107,8270.0,2,1208.5,1766.6,700.1,761.3
36,1,2.0,96,5059.0,,EFIX,,587.0463780656518,1774.0,802.0,,344.4970972301509,1351.0,374.0,,270.89306008091086,1192.0,954.0,2033.0,1.0,1.0,4965.0,screen,ec107,8270.0,2,,1199.1,,683.2
37,1,1.0,28,136.0,screen,ESACC,268.59912509165025,196.3462757477207,1374.0,438.0,401.5406455142492,252.21153819760104,1443.0,773.0,576.9579620734945,441.3545740105113,1699.0,545.0,2030.0,1.0,2.0,110.0,screen,ec107,8233.0,3,1122.2,1260.9,531.5,598.5
38,1,1.0,118,254.0,,EFIX,,272.01533045032596,1374.0,438.0,,402.6685237264021,1443.0,773.0,,579.814056400843,1699.0,545.0,2030.0,1.0,2.0,138.0,screen,ec107,8233.0,3,,1119.3,,533.5
39,1,1.0,42,296.0,loc2end,ESACC,344.04355828877243,273.3264165791517,1374.0,438.0,21.821319850091474,403.0790617236276,1443.0,773.0,324.84360852570273,580.8985539661809,1699.0,545.0,2030.0,1.0,2.0,256.0,screen,ec107,8233.0,3,1464.6,1118.2,769.9,534.3
40,1,1.0,266,562.0,,EFIX,,354.15568610428943,1374.0,438.0,,40.24487545017382,1443.0,773.0,,315.3151598004764,1699.0,545.0,2030.0,1.0,2.0,298.0,loc2start,ec107,8233.0,3,,1483.2,,774.9
41,1,1.0,8,570.0,loc2end,ESACC,343.1414868534552,346.7628151921714,1374.0,438.0,22.59380446051533,37.52132726863488,1443.0,773.0,323.6493163904413,312.4852796532982,1699.0,545.0,2030.0,1.0,2.0,564.0,loc2start,ec107,8233.0,3,1465.2,1480.2,768.8,768.1
42,1,1.0,258,828.0,,EFIX,,345.3465071489793,1374.0,438.0,,14.900000000000091,1443.0,773.0,,331.83310564197774,1699.0,545.0,2030.0,1.0,2.0,572.0,loc2start,ec107,8233.0,3,,1457.9,,773.0
44,1,1.0,250,1078.0,loc2end,ESACC,388.1482448755887,339.29050974054667,1374.0,438.0,54.90227681981862,8.523496934943964,1443.0,773.0,342.2032437017511,334.4378118574514,1699.0,545.0,2030.0,1.0,2.0,830.0,loc2start,ec107,8233.0,3,1483.1,1450.3,810.5,768.6
45,1,1.0,168,1246.0,,EFIX,,330.03280140010327,1374.0,438.0,,53.93560975830352,1443.0,773.0,,290.44973747621117,1699.0,545.0,2030.0,1.0,2.0,1080.0,loc2start,ec107,8233.0,3,,1490.2,,746.9
46,1,1.0,34,1280.0,loc3end,ESACC,338.84940607886574,327.25703964926413,1374.0,438.0,315.1503133426969,63.06322224561641,1443.0,773.0,29.87507322166757,281.2432576969623,1699.0,545.0,2030.0,1.0,2.0,1248.0,loc2start,ec107,8233.0,3,1685.4,1497.4,571.6,741.1
47,1,1.0,162,1442.0,,EFIX,,340.26204607625584,1374.0,438.0,,309.61760285875226,1443.0,773.0,,36.745884123259266,1699.0,545.0,2030.0,1.0,2.0,1282.0,loc3start,ec107,8233.0,3,,1683.9,,578.5
48,1,1.0,16,1458.0,loc3end,ESACC,356.98959368586634,345.90462558341136,1374.0,438.0,349.1758439525849,309.97904767903265,1443.0,773.0,14.905368160498345,39.65614706448424,1699.0,545.0,2030.0,1.0,2.0,1444.0,loc3start,ec107,8233.0,3,1712.6,1688.0,551.1,583.1
49,1,1.0,424,1882.0,,EFIX,,350.7790187568235,1374.0,438.0,,342.9622719775456,1443.0,773.0,,9.915644204992354,1699.0,545.0,2030.0,1.0,2.0,1460.0,loc3start,ec107,8233.0,3,,1705.6,,552.4
50,1,1.0,40,1922.0,loc2end,ESACC,347.9201345136553,343.4276197395894,1374.0,438.0,50.75056649930118,338.0501885815182,1443.0,773.0,301.2487676323341,6.3505905237229205,1699.0,545.0,2030.0,1.0,2.0,1884.0,loc3start,ec107,8233.0,3,1493.1,1698.2,764.9,551.3
