414	102	483	-233	342	0	0	1	60	739	-5	483	-233	343	343	343	102	1	1	12	3	1	2	54	6	1	32	
163	105	-272	4	446	0	0	1	60	33	-322	-272	4	447	447	447	34	1	1	2	13	2	1	277	6	2	56	
-216	100	79	-12	315	1195	1	1	60	29	300	79	-12	316	316	316	65	1	2	7	14	3	1	113	6	1	35	
439	-321	314	195	530	0	0	1	-60	824	46	314	195	531	531	531	126	1	1	10	5	4	2	50	7	1	36	
515	-20	-13	-56	530	1443	1	1	-60	220	420	-13	-56	530	530	530	119	1	2	3	15	5	1	73	8	1	34	
-242	91	-247	-224	315	0	0	1	-60	-517	-62	-247	-224	316	316	316	71	1	1	6	8	6	2	65	8	1	74	
753	176	68	94	689	0	0	1	60	507	-414	118	94	641	641	641	106	1	1	13	7	7	2	52	8	1	33	
-506	345	160	167	689	1565	1	1	-60	-327	-320	160	167	690	690	690	112	1	2	15	6	8	1	50	6	1	26	
-345	20	-467	-299	342	1282	1	1	60	-129	-245	-467	-299	342	342	342	7	1	2	5	9	9	1	52	7	1	77	
423	135	-363	-324	910	0	0	1	-60	-267	413	-163	-324	745	745	745	26	1	1	8	16	10	2	63	7	2	56	
814	-262	11	166	910	1807	1	1	60	232	-414	391	166	602	602	602	127	1	2	16	2	11	1	56	8	1	29	
723	-277	57	208	824	1729	1	1	60	175	-417	327	128	567	567	567	81	1	2	11	12	12	1	43	8	1	26	
573	-250	827	-219	255	0	0	1	60	674	-14	827	-219	256	256	256	72	1	1	1	4	13	2	60	6	1	116	
41	57	-745	-191	824	0	0	1	-60	-451	415	-515	-191	609	609	609	29	1	1	4	1	14	1	124	8	1	55	
29	160	-196	280	255	1061	1	1	-60	21	415	-196	280	255	255	255	70	1	2	14	10	15	1	74	8	1	64	
-407	-144	34	-74	446	1386	1	1	60	-247	273	34	-74	447	447	447	66	1	2	9	11	16	1	48	6	1	34	
-11	67	215	168	247	997	1	2	60	15	314	215	168	248	248	248	89	8	2	25	18	17	1	53	6	1	30	
-470	139	296	-387	929	0	0	2	60	299	419	156	-387	818	818	818	3	8	1	18	19	18	2	86	6	1	23	
-630	319	114	311	744	0	0	2	-60	-264	-329	114	311	745	745	745	19	8	1	26	30	19	2	62	6	1	22	
796	-249	24	-146	778	0	0	2	-60	530	420	84	-146	720	720	720	100	8	1	22	31	20	2	73	8	1	26	
354	-216	-26	-191	380	0	0	2	-60	186	126	-26	-191	381	381	381	2	8	1	32	21	21	2	51	8	1	29	
-606	-332	116	-40	778	1647	1	2	60	-512	414	86	-40	752	752	752	122	8	2	17	28	22	1	50	6	1	27	
-722	191	-823	-35	247	0	0	2	60	-576	-9	-823	-35	248	248	248	8	8	1	21	32	23	2	50	7	1	25	
-809	410	-792	-138	548	0	0	2	60	-325	151	-792	-138	549	549	549	12	8	1	20	24	24	2	37	6	1	36	
445	-247	139	208	548	1465	1	2	60	-102	-284	139	208	549	549	549	88	8	2	31	20	25	1	69	8	1	32	
362	328	95	-52	464	0	0	2	60	558	-93	95	-52	465	465	465	49	8	1	27	17	26	2	73	7	1	65	
575	-379	238	284	744	1642	1	2	60	-167	-339	238	284	744	744	744	58	8	2	28	23	27	1	65	8	1	31	
-154	-404	222	-344	380	1306	1	2	60	-17	-48	222	-344	381	381	381	87	8	2	19	25	28	1	40	6	1	36	
-448	81	-845	-157	464	1400	1	2	-60	-852	306	-845	-157	463	463	463	105	8	2	24	27	29	1	55	8	1	25	
131	352	202	20	340	1256	1	2	60	455	248	202	20	340	340	340	92	8	2	23	22	30	1	39	6	1	24	
812	-266	-116	-282	929	1807	1	2	-60	400	418	14	-282	799	799	799	103	8	2	29	29	31	1	68	8	1	28	
-584	337	-684	12	340	0	0	2	60	-352	88	-684	12	341	341	341	41	8	1	30	26	32	3	188	6	2	46	
-246	148	-175	-332	485	0	0	3	60	206	-30	-175	-332	486	486	486	116	5	1	37	39	33	2	49	6	1	160	
-518	-54	-11	141	542	1457	1	3	-60	-95	-395	-11	141	544	544	544	69	5	2	35	46	34	1	44	6	1	27	
-856	356	24	327	880	0	0	3	-60	-446	-411	14	327	871	871	871	104	5	1	39	33	35	2	59	6	1	27	
221	-44	-69	29	299	1176	1	3	60	13	-258	-69	29	300	300	300	96	5	2	44	40	36	1	55	8	1	34	
-585	180	-182	-334	653	1564	1	3	60	62	273	-182	-334	654	654	654	63	5	2	47	42	37	1	51	6	1	23	
-773	71	-330	-409	653	0	0	3	60	-135	215	-330	-409	654	654	654	67	5	1	42	45	38	2	55	8	3	131	
-311	213	2	-78	427	1331	1	3	-60	-406	-203	2	-78	428	428	428	15	5	2	38	43	39	1	36	7	1	61	
506	-6	158	-342	485	1430	1	3	-60	42	128	158	-342	484	484	484	50	5	2	34	35	40	1	35	8	1	24	
761	-296	15	171	880	1772	1	3	60	302	-418	425	41	476	476	476	18	5	2	40	47	41	1	54	8	1	33	
268	312	-56	-413	794	0	0	3	60	734	-331	-56	-413	795	795	795	33	5	1	43	34	42	2	64	7	1	23	
-625	-164	-859	-351	299	0	0	3	60	-555	-416	-809	-351	263	263	263	90	5	1	46	37	43	1	231	6	2	25	
851	102	481	-113	427	0	0	3	60	853	-325	481	-113	428	428	428	117	5	1	36	38	44	2	52	8	3	64	
-175	145	-68	-128	293	0	0	3	60	115	102	-68	-128	294	294	294	38	5	1	45	44	45	2	57	8	3	81	
4	99	-529	0	542	0	0	3	60	-176	-412	-529	0	543	543	543	13	5	1	33	36	46	2	57	8	1	45	
-84	-255	131	-55	293	1160	1	3	60	-149	32	131	-55	294	294	294	11	5	2	41	48	47	1	70	7	1	26	
701	-292	224	343	794	1715	1	3	60	-87	-387	224	343	795	795	795	27	5	2	48	41	48	1	47	8	1	23	
-162	-4	-73	-295	304	0	0	4	-60	-369	-226	-73	-295	305	305	305	40	6	1	63	52	49	2	65	7	1	29	
860	-235	397	-122	476	0	0	4	-60	727	223	397	-122	477	477	477	44	6	1	54	56	50	2	63	8	1	38	
-665	-191	60	-412	758	1642	1	4	60	-111	327	60	-412	758	758	758	99	6	2	50	59	51	1	123	6	1	26	
