69789	3081	6121
76008	3080	6119
82229	3078	6116
88446	3079	6119
94669	3075	6115
100883	3079	6118
107100	3080	6119
113317	3082	6122
119536	3081	6121
125755	3081	6120
131973	3081	6123
138197	3076	6116
144416	3075	6115
150631	3079	6119
156850	3078	6120
163072	3074	6114
721044	3079	6117
727265	3076	6118
733487	3072	6112
739698	3080	6120
745918	3078	6120
752140	3075	6116
758357	3076	6116
764576	3076	6116
770794	3076	6118
777014	3075	6115
783229	3078	6118
789451	3074	6116
795666	3078	6119
801884	3078	6118
808104	3077	6117
814323	3076	6116
1438030	3081	6121
1444254	3075	6117
1450470	3078	6118
1456686	3080	6119
1462912	3073	6113
1469129	3074	6114
1475348	3073	6114
1481563	3077	6115
1487779	3079	6119
1493998	3079	6119
1500219	3076	6116
1506439	3075	6113
1512656	3076	6116
1518874	3077	6117
1525089	3080	6120
1531314	3073	6113
2128865	3077	6116
2135083	3077	6117
2141301	3077	6118
2147519	3078	6117
2153734	3081	6123
2159959	3075	6115
2166171	3081	6122
2172391	3080	6118
2178614	3075	6115
2184831	3077	6117
2191052	3074	6113
2197269	3075	6115
2203483	3080	6120
2209701	3080	6120
2215923	3077	6116
2222138	3080	6122
70206	3081	6121
76424	3081	6121
82646	3077	6118
88864	3078	6118
95080	3080	6120
101299	3080	6118
107522	3075	6117
113743	3073	6113
119954	3080	6120
126178	3075	6115
132392	3079	6121
138614	3075	6116
144830	3078	6117
151044	3082	6122
157268	3077	6117
163487	3076	6116
864851	3079	6121
871072	3077	6120
877296	3071	6111
883509	3077	6117
889723	3081	6123
895946	3077	6118
902169	3072	6112
908381	3078	6117
914599	3079	6119
920819	3077	6117
927035	3080	6120
933257	3076	6118
939476	3076	6116
945693	3077	6117
951912	3077	6115
958132	3075	6116
1606530	3079	6121
1612754	3073	6114
1618967	3079	6118
1625187	3077	6118
1631410	3073	6113
1637623	3078	6118
1643843	3077	6118
1650065	3073	6113
1656285	3071	6112
1662502	3073	6112
1668718	3075	6115
1674938	3074	6114
1681155	3075	6115
1687373	3076	6116
1693587	3080	6120
1699812	3074	6114
2311394	3083	6123
2317620	3075	6116
2323834	3080	6120
2330055	3077	6119
2336278	3073	6113
2342491	3078	6118
2348714	3074	6114
2354953	3070	6111
2361165	3076	6116
2367379	3081	6121
2373601	3077	6117
2379820	3077	6118
2386040	3075	6114
2392257	3076	6117
2398479	3073	6113
2404693	3077	6117
