356870	2033	12338
369309	2031	10269
379678	2032	9369
389151	2028	9432
398683	2032	8836
407621	2030	11302
419023	2031	8568
427696	2028	8631
436429	2030	8901
445423	2022	9160
454682	2033	9302
464081	2020	10557
474738	2032	8471
483306	2034	8671
492076	2033	8270
500447	2031	8333
1061257	2033	10338
1071702	2025	8762
1080563	2033	9269
1089931	2034	9238
1099269	2032	8470
1107838	2032	9770
1117705	2018	10190
1127997	2029	9033
1137133	2029	8468
1145701	2030	9468
1155273	2028	8432
1163806	2031	8168
1172072	2034	8372
1180545	2030	9966
1190611	2033	8536
1199245	2018	8523
2231927	2019	8490
2240520	2028	8931
2249549	2018	12323
2261969	2019	9424
2271491	2033	8570
2280157	2019	8123
2288378	2034	8403
2296882	2032	8437
2305419	2031	9236
2314753	2033	8437
2323792	2030	9568
2333461	2031	9769
2343329	2032	8236
2351666	2031	8402
2360169	2030	8001
2368266	2019	8322
2910705	2020	8059
2918862	2032	9304
2928268	2029	8698
2937065	2035	8406
2945569	2033	7805
2953473	2031	9002
2962577	2030	10800
2973473	2020	8291
2981863	2033	8838
2990799	2033	8337
2999238	2030	8033
3007373	2030	8034
3015509	2030	8535
3024143	2032	8536
3032781	2030	8434
3041311	2019	8423
3694769	2033	8271
3703143	2028	8866
3712109	2031	8169
3720376	2034	8436
3728914	2031	8303
3737313	2035	8606
3746019	2031	8336
3754456	2030	11133
3765692	2031	8236
3774026	2032	8603
3782729	2032	8503
3791331	2032	8770
3800198	2035	8238
3808535	2033	8436
3817070	2034	8205
3825378	2029	8699
4744938	2035	8405
4753445	2030	8234
4761780	2031	8702
4770583	2030	8533
4779215	2034	8372
4787685	2033	8437
4796222	2032	8435
4804753	2020	8458
4813310	2032	8304
4821712	2033	10371
4832187	2028	8630
4840914	2020	8324
4849338	2031	8437
4857874	2031	10370
4868341	2034	8237
4876676	2035	8239
5537201	2034	8706
5546004	2034	8238
5554339	2034	8404
5562843	2033	9304
5572247	2032	8768
5581117	2031	11569
5592783	2035	8306
5601187	2033	8637
5609923	2033	9405
5619428	2031	8635
5628166	2029	8398
5636666	2031	8736
5645505	2028	8233
5653841	2028	8632
5662574	2031	10467
5673143	2031	8269
6243087	2019	8291
6251476	2032	8370
6259950	2028	8265
6268315	2032	8668
6277079	2020	8692
6285874	2028	8599
6294575	2029	8799
6303476	2031	8602
6312176	2033	8603
6320879	2033	8404
6329384	2030	8435
6337921	2029	8633
6346656	2030	8335
6355091	2031	8468
6363657	2034	8638
6372397	2030	9099
