44	-355	-109	-89	307	1190	1	1	-60	198	-89	-109	-89	307	307	307	78	1	2	11	1	2	0	259	
170	317	699	249	533	0	0	1	-60	376	-175	699	249	534	534	534	4	1	1	3	2	1	2	176	
336	-146	624	-39	307	0	0	1	60	388	157	624	-39	308	308	308	46	1	1	2	3	11	2	121	
-527	24	424	-90	957	0	0	1	60	-167	419	-6	-90	534	534	534	75	1	1	15	4	4	1	125	
171	266	-324	173	503	0	0	1	60	5	-209	-324	173	504	504	504	16	1	1	6	5	12	1	89	
833	-235	813	107	342	0	0	1	60	527	-81	813	107	343	343	343	17	1	1	16	6	9	3	237	
114	263	-507	304	622	0	0	1	60	-232	-254	-507	304	623	623	623	20	1	1	5	7	16	1	74	
-435	-115	98	-133	533	1401	1	1	60	-152	338	98	-133	534	534	534	110	1	2	10	8	8	1	77	
-822	-320	-231	291	850	0	0	1	-60	-451	-419	-551	-49	384	384	384	73	1	1	9	9	5	2	94	
505	384	417	-334	724	1584	1	1	-60	-160	102	417	-334	724	724	724	119	1	2	13	10	13	2	109	
606	-352	49	290	850	1656	1	1	-60	823	417	49	220	799	799	799	83	1	2	1	11	3	1	118	
-51	-370	105	-65	342	1205	1	1	-60	292	-352	105	-65	343	343	343	115	1	2	14	12	14	1	193	
800	-294	-149	-177	957	1807	1	1	-60	527	414	51	-177	759	759	759	98	1	2	8	13	10	1	68	
-161	-394	-349	73	503	1305	1	1	60	-659	-323	-349	73	504	504	504	127	1	2	12	14	6	2	79	
-430	-289	-122	367	724	0	0	1	-60	293	-227	-122	367	725	725	725	5	1	1	7	15	7	2	56	
508	-196	-86	-14	622	1500	1	1	-60	369	410	-86	-14	622	622	622	47	1	2	4	16	15	1	60	
442	-260	662	284	586	1468	1	2	60	81	203	662	284	587	587	587	125	4	2	32	17	19	3	179	
566	365	-192	119	798	1627	1	2	60	401	-414	-192	119	797	797	797	62	4	2	31	18	32	2	85	
467	0	815	400	529	1391	1	2	60	362	417	775	300	430	430	430	18	4	2	24	19	18	1	115	
-362	151	436	186	798	0	0	2	-60	8	-418	316	186	679	679	679	99	4	1	17	20	29	2	114	
282	166	709	60	440	1283	1	2	-60	404	-256	709	60	440	440	440	103	4	2	30	21	28	1	67	
-487	-4	-304	163	247	0	0	2	-60	-250	-78	-304	163	248	248	248	82	4	1	20	22	20	2	146	
-133	-228	-713	-140	586	0	0	2	-60	-346	319	-713	-140	587	587	587	121	4	1	29	23	22	3	171	
-584	100	162	-404	900	0	0	2	60	181	417	72	-404	828	828	828	105	4	1	23	24	23	2	101	
514	413	-175	189	725	1606	1	2	60	364	-295	-175	189	725	725	725	11	4	2	28	25	17	1	67	
857	281	655	-110	440	0	0	2	-60	418	261	655	-110	441	441	441	55	4	1	18	26	27	2	127	
192	-209	-96	-405	348	0	0	2	-60	-121	-57	-96	-405	349	349	349	79	4	1	26	27	30	2	66	
280	-115	-245	-48	529	0	0	2	-60	76	374	-245	-48	530	530	530	77	4	1	21	28	21	2	49	
-38	-17	67	-240	247	998	1	2	-60	-178	-219	67	-240	247	247	247	97	4	2	27	29	24	2	62	
544	-136	-146	-361	725	0	0	2	-60	5	350	-146	-361	726	726	726	14	4	1	25	30	26	3	157	
-254	81	74	201	348	1221	1	2	-60	14	-143	74	201	350	350	350	30	4	2	22	31	31	2	72	
802	107	-43	415	900	1743	1	2	60	143	-418	17	415	844	844	844	39	4	2	19	32	25	1	71	
-448	-22	-189	-234	334	0	0	3	-60	-502	-352	-189	-234	335	335	335	32	3	1	40	33	40	2	69	
429	409	-220	223	676	1532	1	3	60	266	-246	-220	223	676	676	676	28	3	2	33	34	38	1	95	
731	-211	-90	10	850	0	0	3	-60	622	420	130	10	641	641	641	64	3	1	35	35	35	0	0	
654	337	-195	352	850	1692	1	3	60	217	-390	-195	352	850	850	850	19	3	2	41	36	42	2	125	
582	16	23	-317	650	0	0	3	-60	15	334	23	-317	651	651	651	102	3	1	47	37	37	2	73	
-449	286	-499	18	272	0	0	3	60	-241	109	-499	18	273	273	273	50	3	1	48	38	41	2	47	
339	214	-65	-113	520	1356	1	3	60	421	-299	-65	-113	520	520	520	74	3	2	42	39	33	2	63	
85	-311	109	23	334	1194	1	3	60	-192	-123	109	23	335	335	335	52	3	2	43	40	36	1	66	
-101	227	159	-224	520	0	0	3	60	420	227	159	-224	521	521	521	72	3	1	44	41	43	2	114	
8	204	734	207	726	0	0	3	-60	369	-414	724	207	717	717	717	37	3	1	36	42	44	2	65	
571	77	-70	179	650	1514	1	3	60	168	-418	-60	179	640	640	640	94	3	2	46	43	47	1	134	
-2	304	78	44	272	1125	1	3	-60	-187	105	78	44	273	273	273	3	3	2	38	44	46	3	145	
-49	147	65	-263	425	0	0	3	60	364	41	65	-263	426	426	426	59	3	1	34	45	48	1	53	
35	-95	-625	52	676	0	0	3	-60	-87	412	-465	52	522	522	522	107	3	1	37	46	39	2	63	
641	-195	-79	-283	726	1622	1	3	-60	205	385	-79	-283	726	726	726	51	3	2	39	47	34	1	39	
235	226	570	-35	425	1271	1	3	60	629	386	570	-35	425	425	425	41	3	2	45	48	45	1	59	
-441	323	-672	-249	617	1498	1	4	60	-61	-163	-672	-249	617	617	617	67	2	2	61	49	59	2	43	
767	56	-72	-153	865	1695	1	4	-60	317	419	228	-153	579	579	579	87	2	2	62	50	60	1	118	
578	394	208	-365	845	1652	1	4	-60	-264	335	208	-365	845	845	845	21	2	2	51	51	58	1	81	
409	225	685	-272	569	1423	1	4	-60	117	-262	685	-272	569	569	569	35	2	2	50	52	50	1	64	
32	-338	-734	19	845	0	0	4	-60	9	418	-634	19	756	756	756	58	2	1	63	53	55	2	27	
591	161	-77	-5	689	1562	1	4	60	451	-413	23	-5	592	592	592	95	2	2	59	54	51	1	99	
-843	329	-2	125	865	0	0	4	-60	-649	-414	-102	125	769	769	769	70	2	1	64	55	63	2	207	
