767	-100	-44	212	869	1708	1	4	60	227	-412	226	212	625	625	625	125	8	2	58	51	59
355	-232	610	248	543	1378	1	4	60	67	229	610	248	544	544	544	40	8	2	59	59	61
-555	-45	-21	-414	649	0	0	4	60	32	233	-21	-414	650	650	650	46	8	1	60	54	49
-737	148	82	368	847	1695	1	4	-60	-156	-416	42	368	810	810	810	87	8	2	61	49	54
-120	-143	596	311	847	0	0	4	-60	562	-414	456	311	734	734	734	65	8	1	62	64	62
-554	-102	73	66	649	1507	1	4	60	-450	413	-57	66	525	525	525	9	8	2	63	62	50
660	11	-65	139	737	1579	1	4	60	267	-414	95	139	580	580	580	126	8	2	64	57	58
-835	368	-60	-174	945	1869	1	5	-60	-753	-112	-378	198	488	488	488	26	2	2	65	67	75
306	-261	-273	-181	584	0	0	5	-60	86	281	-273	-181	585	585	585	128	2	1	66	70	68
-461	411	-524	-309	723	1560	1	5	60	132	-3	-524	-309	723	723	723	63	2	2	67	77	72
-516	415	-200	405	316	0	0	5	-60	-366	137	-200	405	317	317	317	111	2	1	68	65	76
496	96	-203	282	723	0	0	5	60	-14	-416	-203	282	724	724	724	95	2	1	69	78	70
20	-286	-250	-123	316	1128	1	5	-60	27	30	-250	-123	316	316	316	86	2	2	70	66	73
323	-306	790	46	584	1388	1	5	60	252	275	790	46	585	585	585	36	2	2	71	68	71
-465	-333	-721	50	460	0	0	5	-60	-261	81	-721	50	461	461	461	91	2	1	72	73	66
-407	362	-106	-393	812	0	0	5	60	398	246	-106	-393	813	813	813	42	2	1	73	69	74
-708	-377	-328	-132	452	0	0	5	60	-730	75	-328	-132	453	453	453	123	2	1	74	74	77
153	-320	19	120	460	1254	1	5	60	-295	-216	19	120	460	460	460	49	2	2	75	71	78
613	332	33	-415	945	0	0	5	60	812	-417	63	-215	776	776	776	33	2	1	76	79	80
-533	69	70	231	624	1476	1	5	-60	-91	-372	70	231	625	625	625	1	2	2	77	76	65
-673	-203	138	-146	812	1654	1	5	60	-381	416	8	-146	684	684	684	68	2	2	78	75	67
-154	314	-21	-118	452	1251	1	5	-60	-461	-17	-21	-118	453	453	453	76	2	2	79	80	69
-121	-2	475	184	624	0	0	5	-60	334	-416	465	184	615	615	615	61	2	1	80	72	79
250	-146	679	-62	437	1245	1	6	60	392	268	679	-62	438	438	438	64	6	2	81	83	86
769	-214	384	-6	437	0	0	6	-60	757	224	384	-6	438	438	438	112	6	1	82	93	88
423	-379	115	202	658	1511	1	6	60	-234	-355	115	202	658	658	658	5	6	2	83	96	92
410	-388	-273	-153	722	0	0	6	-60	273	321	-273	-153	723	723	723	15	6	1	84	84	90
671	209	130	-413	825	1655	1	6	-60	-138	367	130	-413	825	825	825	73	6	2	85	90	89
325	-399	142	234	658	0	0	6	60	-314	-240	142	234	659	659	659	58	6	1	86	82	94
582	213	554	-95	309	0	0	6	-60	302	84	554	-95	310	310	310	69	6	1	87	87	96
813	377	292	-396	933	1853	1	6	-60	229	94	766	-271	650	650	650	81	6	2	88	86	83
478	363	-58	-120	722	1550	1	6	60	629	-342	-58	-120	722	722	722	71	6	2	89	94	91
-682	394	207	110	933	0	0	6	-60	-543	-413	87	110	820	820	820	14	6	1	90	88	84
-456	181	355	25	825	0	0	6	-60	-290	-417	145	25	621	621	621	89	6	1	91	91	93
335	92	-100	-92	473	1300	1	6	60	277	-376	-100	-92	473	473	473	114	6	2	92	92	95
-36	-187	13	119	309	1082	1	6	60	-276	9	13	119	310	310	310	118	6	2	93	95	85
-155	-117	-578	96	473	0	0	6	-60	-182	356	-578	96	474	474	474	51	6	1	94	81	82
122	-378	439	53	535	0	0	6	60	-92	113	439	53	536	536	536	50	6	1	95	85	87
239	-385	147	142	535	1362	1	6	-60	650	-41	147	142	535	535	535	62	6	2	96	89	81
301	-411	-174	309	862	0	0	7	-60	688	361	-174	309	863	863	863	100	4	1	97	112	104
-393	-2	429	335	888	0	0	7	-60	235	-415	279	335	752	752	752	105	4	1	98	108	103
-410	379	-726	-168	632	1500	1	7	60	-94	-168	-726	-168	632	632	632	99	4	2	99	103	110
-64	119	-572	371	567	0	0	7	60	-536	-194	-572	371	568	568	568	109	4	1	100	111	100
418	46	135	415	465	0	0	7	60	-43	-14	135	415	466	466	466	41	4	1	101	99	107
226	-245	130	210	465	1273	1	7	60	-216	-100	130	210	466	466	466	78	4	2	102	101	101
-796	-259	-125	324	888	1789	1	7	-60	-191	-419	-355	184	626	626	626	12	4	2	103	105	98
-659	363	199	273	862	1708	1	7	-60	-312	-416	189	273	853	853	853	35	4	2	104	98	108
192	220	578	233	386	0	0	7	-60	397	-107	578	233	387	387	387	30	4	1	105	100	97
-65	-31	-333	17	273	1029	1	7	-60	-157	226	-333	17	273	273	273	104	4	2	106	97	99
-258	212	280	-203	679	0	0	7	-60	-373	-418	230	-203	641	641	641	75	4	1	107	109	111
338	276	-216	394	567	1385	1	7	60	-41	-144	-216	394	567	567	567	11	4	2	108	102	112
181	-161	-197	-87	386	1192	1	7	-60	57	204	-197	-87	386	386	386	31	4	2	109	106	105
481	291	680	-358	679	1517	1	7	-60	19	-205	680	-358	679	679	679	3	4	2	110	104	106
8	-348	-168	-139	273	0	0	7	60	-260	-395	-168	-139	274	274	274	101	4	1	111	110	102
-271	150	361	173	632	0	0	7	-60	65	-385	361	173	633	633	633	6	4	1	112	107	109
-764	-105	75	58	854	1706	1	8	60	-650	418	-255	58	535	535	535	56	3	2	113	116	124
825	107	-47	184	876	1765	1	8	60	433	-419	173	184	657	657	657	28	3	2	114	127	122
-340	339	-833	-32	618	1419	1	8	60	-265	-273	-833	-32	618	618	618	59	3	2	115	115	119
392	153	772	-226	537	1376	1	8	-60	254	-365	772	-226	537	537	537	98	3	2	116	124	125
-647	-374	-204	116	660	0	0	8	60	-849	255	-204	116	661	661	661	20	3	1	117	121	120
-588	-267	-61	406	854	0	0	8	-60	259	-386	-61	406	855	855	855	117	3	1	118	123	128
-526	344	-452	-270	618	0	0	8	60	43	102	-452	-270	619	619	619	23	3	1	119	128	121
480	-287	-173	-195	660	1515	1	8	-60	234	325	-173	-195	660	660	660	124	3	2	120	118	117
-639	-135	172	197	876	0	0	8	-60	-95	-411	-128	197	610	610	610	121	3	1	121	117	123
-123	181	414	207	537	0	0	8	-60	169	-271	414	207	538	538	538	97	3	1	122	114	127
181	-61	-187	-120	372	0	0	8	-60	-54	229	-187	-120	373	373	373	85	3	1	123	119	113
171	-163	543	-169	372	1184	1	8	60	363	157	543	-169	373	373	373	116	3	2	124	125	118
-133	53	-385	-130	312	1099	1	8	-60	-417	180	-385	-130	312	312	312	17	3	2	125	126	114
113	16	-199	22	312	0	0	8	-60	-37	290	-199	22	313	313	313	16	3	1	126	122	115
467	351	356	-96	460	0	0	8	-60	25	224	356	-96	461	461	461	96	3	1	127	120	126
-290	94	83	365	460	1259	1	8	-60	132	-93	83	365	462	462	462	37	3	2	128	113	116
