240	289	779	319	5.398342e+02	0	0	3	60	484	771	779	319	5.398342e+02	5.398342e+02	5.398342e+02	65	8	1	47	38	45	
374	665	955	444	6.216124e+02	0	0	3	-60	363	242	735	444	4.232753e+02	4.232753e+02	4.232753e+02	24	8	1	43	43	34	
1617	516	952	690	6.873871e+02	0	0	3	60	1259	244	1202	690	4.500011e+02	4.500011e+02	4.500011e+02	46	8	1	36	34	48	
1131	528	928	699	2.654242e+02	9.440471e+02	1	3	60	881	438	928	699	2.654242e+02	2.654242e+02	2.654242e+02	63	8	2	40	41	33	
775	676	586	385	3.469899e+02	1.004550e+03	1	3	60	933	367	586	385	3.469899e+02	3.469899e+02	3.469899e+02	29	8	2	41	44	40	
799	289	1049	620	4.148024e+02	1.039116e+03	1	3	60	637	671	1049	620	4.148024e+02	4.148024e+02	4.148024e+02	103	8	2	44	33	44	
560	415	1020	283	4.785645e+02	1.197925e+03	1	3	60	904	747	1020	283	4.785645e+02	4.785645e+02	4.785645e+02	39	8	2	38	36	39	
1505	515	1029	670	5.006006e+02	1.306082e+03	1	3	60	1168	241	1099	670	4.345814e+02	4.345814e+02	4.345814e+02	102	8	2	39	39	38	
1578	608	1039	561	5.410453e+02	1.387684e+03	1	3	60	1424	248	1189	561	3.918290e+02	3.918290e+02	3.918290e+02	73	8	2	48	45	42	
353	336	974	379	6.224869e+02	1.419488e+03	1	3	60	591	835	904	379	5.526753e+02	5.526753e+02	5.526753e+02	23	8	2	46	47	37	
281	457	969	481	6.884185e+02	1.450479e+03	1	3	60	474	840	709	481	4.286724e+02	4.286724e+02	4.286724e+02	79	8	2	42	35	46	
755	810	991	705	2.583041e+02	0	0	4	-60	782	553	991	705	2.583041e+02	2.583041e+02	2.583041e+02	59	3	1	59	64	59	
1194	404	934	243	3.058120e+02	0	0	4	-60	925	549	934	243	3.058120e+02	3.058120e+02	3.058120e+02	98	3	1	57	61	54	
1354	650	1540	280	4.141208e+02	0	0	4	-60	1127	304	1540	280	4.141208e+02	4.141208e+02	4.141208e+02	11	3	1	54	54	63	
459	253	252	662	4.583994e+02	0	0	4	-60	710	637	252	662	4.583994e+02	4.583994e+02	4.583994e+02	87	3	1	55	62	61	
1455	339	1642	791	4.891554e+02	0	0	4	60	1157	727	1642	791	4.891554e+02	4.891554e+02	4.891554e+02	114	3	1	53	60	50	
817	553	349	821	5.393033e+02	0	0	4	60	351	282	349	821	5.393033e+02	5.393033e+02	5.393033e+02	115	3	1	61	50	62	
